id,username,password
1136,Rebecca,Johnston
1137,Stephen,West
1138,Cynthia,Thompson
1139,Ernest,Harvey
1140,Aaron,Mitchell
1141,Adam,Hart
1142,Billy,Diaz
1143,Teresa,Burton
1144,Peter,Collins
1145,Jerry,Wheeler
1146,Karen,Rivera
1147,Amanda,Henry
1148,Margaret,Jacobs
1149,Evelyn,Webb
1150,Gloria,Hawkins
1151,Helen,King
1152,John,Wagner
1153,Eric,Dean
1154,Howard,Peterson
1155,Matthew,Ferguson
1156,Walter,Gilbert
1157,Catherine,Jenkins
1158,Teresa,Torres
1159,Scott,Ramos
1160,Gary,Chapman
1161,Helen,Gibson
1162,Patricia,Chapman
1163,Michelle,Fields
1164,Amy,Ward
1165,Justin,Scott
1166,Patrick,Wilson
1167,Samuel,Riley
1168,Dorothy,Alexander
1169,Anna,Montgomery
1170,Kathy,Simmons
1171,Jack,Myers
1172,Louis,Morales
1173,Margaret,Bradley
1174,Deborah,Dixon
1175,Gregory,Owens
1176,Jean,Jenkins
1177,Tammy,Johnston
1178,Matthew,Johnston
1179,Kelly,Cox
1180,Cynthia,Jackson
1181,Nancy,Rivera
1182,Carolyn,Hamilton
1183,Adam,Webb
1184,Brian,Turner
1185,Victor,Freeman
1186,Earl,Diaz
1187,Jennifer,Porter
1188,Sarah,Armstrong
1189,George,Reynolds
1190,Kimberly,Wells
1191,Anna,Ford
1192,Amy,Lewis
1193,Doris,King
1194,Justin,King
1195,Willie,Wells
1196,Andrea,Perez
1197,Steve,Peters
1198,William,Hall
1199,Sean,Perkins
1200,Donald,Meyer
1201,Julie,Little
1202,Donna,Jones
1203,Lori,Spencer
1204,Scott,Reid
1205,Elizabeth,Cole
1206,Shawn,Bryant
1207,Brenda,Daniels
1208,Joseph,Alvarez
1209,Daniel,Torres
1210,Eugene,Carter
1211,Roy,Burton
1212,Lawrence,Kelly
1213,Harry,Shaw
1214,Jonathan,Baker
1215,Samuel,Ferguson
1216,Laura,Henry
1217,Timothy,Ryan
1218,Jack,Robertson
1219,Kelly,Richardson
1220,Mildred,Jackson
1221,Matthew,Frazier
1222,Gregory,Graham
1223,Keith,Carpenter
1224,Harry,Hayes
1225,Fred,Ray
1226,Wayne,Wells
1227,Gerald,Fuller
1228,Carl,Mccoy
1229,Brenda,Harrison
1230,Christina,Peterson
1231,Mark,Wood
1232,Ronald,Reynolds
1233,Virginia,Little
1234,Terry,Murphy
1235,Bobby,Snyder
1236,Andrea,Nguyen
1237,Mark,Howell
1238,Henry,Harris
1239,Lois,Watson
1240,Charles,Daniels
1241,Sandra,Harris
1242,Catherine,Hayes
1243,James,Riley
1244,Lillian,Grant
1245,Kathy,Hayes
1246,Laura,Jordan
1247,Rachel,Grant
1248,Nicholas,Davis
1249,Gregory,Kim
1250,Anne,Mcdonald
1251,Evelyn,Mason
1252,Jane,Richards
1253,Ruby,Nelson
1254,Ernest,Romero
1255,Scott,Porter
1256,Juan,Robinson
1257,Ruby,Crawford
1258,Justin,Jacobs
1259,Brenda,Wright
1260,Laura,Fields
1261,Beverly,Crawford
1262,Brian,Ross
1263,Norma,Allen
1264,Steve,Dunn
1265,Larry,Sims
1266,Kathleen,Long
1267,Emily,Olson
1268,Melissa,Carr
1269,Martha,Cox
1270,Debra,Thompson
1271,George,Murray
1272,Andrew,Rice
1273,Chris,Spencer
1274,Amy,Hunt
1275,Pamela,Barnes
1276,Diana,Dunn
1277,Billy,Rodriguez
1278,Rose,Hill
1279,Nicholas,Flores
1280,Ernest,Wood
1281,Barbara,Richardson
1282,Harry,Ross
1283,Sarah,Burton
1284,Diane,Mccoy
1285,Stephanie,Morris
1286,Martha,Tucker
1287,Thomas,Lane
1288,Ashley,Collins
1289,Doris,Freeman
1290,Joan,Gordon
1291,Brian,Griffin
1292,Ryan,Owens
1293,Carolyn,Franklin
1294,Annie,Mccoy
1295,Susan,Ray
1296,Donna,Shaw
1297,Sara,Diaz
1298,Johnny,Kim
1299,Jeremy,Edwards
1300,Michelle,Little
1301,Carol,Campbell
1302,Virginia,Davis
1303,Sara,Williams
1304,Thomas,Hall
1305,Kathryn,Hudson
1306,Gary,Nichols
1307,Kathy,Brooks
1308,Todd,Wallace
1309,Walter,Burns
1310,Joshua,Wallace
1311,Amy,Rodriguez
1312,Patrick,Burke
1313,Virginia,Alvarez
1314,Marilyn,Lawson
1315,Jean,Perez
1316,Jane,Brooks
1317,Kimberly,Shaw
1318,Kathleen,Mason
1319,Kathy,Kim
1320,Charles,Lane
1321,Billy,Stone
1322,Katherine,Boyd
1323,Theresa,Armstrong
1324,Russell,Robinson
1325,Irene,Fernandez
1326,Debra,Cooper
1327,Lillian,Kennedy
1328,Antonio,Mccoy
1329,Sharon,Nichols
1330,Sandra,Meyer
1331,Dorothy,Payne
1332,Peter,Howell
1333,Norma,Ray
1334,Ashley,Jackson
1335,Johnny,Murphy
1336,Virginia,Sullivan
1337,Louis,Perez
1338,Fred,Kelly
1339,Michael,Campbell
1340,Anne,Jacobs
1341,Jessica,Brown
1342,Ruby,Miller
1343,Brian,Fox
1344,Denise,Rogers
1345,Phillip,Ruiz
1346,Bonnie,Lane
1347,Ronald,Fox
1348,Brenda,Elliott
1349,Alan,Daniels
1350,Shirley,Rodriguez
1351,Clarence,Romero
1352,Justin,Hall
1353,Robert,Montgomery
1354,Chris,Cook
1355,Joseph,Sullivan
1356,Michelle,Greene
1357,Kimberly,Franklin
1358,Melissa,Stephens
1359,Walter,Duncan
1360,James,Bowman
1361,Martin,Martinez
1362,Karen,Payne
1363,Bobby,Wilson
1364,Rose,Henry
1365,Nicholas,Matthews
1366,Kenneth,King
1367,Wanda,Graham
1368,Bobby,Gordon
1369,Cheryl,Perry
1370,Carlos,Watkins
1371,Patrick,Hall
1372,Ronald,Weaver
1373,Jimmy,Bishop
1374,Todd,Torres
1375,Willie,Allen
1376,Christine,Larson
1377,Elizabeth,Wagner
1378,Deborah,Murphy
1379,Roger,Riley
1380,Deborah,Richardson
1381,Diane,Martin
1382,Ashley,Foster
1383,Angela,Edwards
1384,Evelyn,Wood
1385,Victor,Grant
1386,Carol,Lopez
1387,Annie,Hill
1388,Timothy,Stephens
1389,Lawrence,Olson
1390,Tammy,Gomez
1391,Helen,Cox
1392,Jeremy,Jordan
1393,Carolyn,Rodriguez
1394,Mary,Hamilton
1395,Judith,Lewis
1396,Steve,Daniels
1397,Debra,Lee
1398,Bonnie,Russell
1399,Evelyn,Cooper
1400,Victor,Allen
1401,Virginia,Little
1402,Patricia,Reynolds
1403,Jeffrey,Lawrence
1404,Alan,Lawson
1405,Michael,Willis
1406,Betty,Garza
1407,Raymond,Ferguson
1408,Lori,Hernandez
1409,Annie,Berry
1410,Diana,Hicks
1411,Philip,Lynch
1412,Angela,Mendoza
1413,Pamela,Martinez
1414,Andrea,Flores
1415,Victor,Larson
1416,Daniel,Daniels
1417,Kevin,Perry
1418,Fred,Weaver
1419,Arthur,Mitchell
1420,Steve,James
1421,Jean,Sanders
1422,Julia,Henderson
1423,Lori,Gonzalez
1424,William,Marshall
1425,Craig,Carroll
1426,Paula,Day
1427,Denise,Nichols
1428,Martin,Howard
1429,Lillian,Tucker
1430,Bonnie,Harris
1431,Jerry,Little
1432,Stephen,Morales
1433,Patricia,Howell
1434,Christopher,Simmons
1435,Todd,Hunt
1436,Norma,Kim
1437,Irene,Jacobs
1438,Douglas,Knight
1439,Ruby,Bishop
1440,Terry,George
1441,Elizabeth,Sims
1442,Harry,Lopez
1443,Todd,Russell
1444,Ruth,Wallace
1445,Helen,Montgomery
1446,Nicole,Alexander
1447,Carlos,Carter
1448,Kelly,Hudson
1449,Sharon,Butler
1450,Patrick,Gray
1451,Julia,George
1452,Betty,Morrison
1453,George,Hill
1454,Karen,Harris
1455,Sara,Fuller
1456,Theresa,Burns
1457,Jonathan,Dunn
1458,Sarah,Brooks
1459,Anthony,Franklin
1460,Brandon,Castillo
1461,Virginia,Cox
1462,Margaret,Flores
1463,Ruby,Foster
1464,Joan,Murray
1465,Evelyn,Butler
1466,Anna,Elliott
1467,Eugene,Evans
1468,Sean,Jones
1469,Henry,Grant
1470,Adam,Long
1471,Arthur,George
1472,Donna,Kim
1473,Anna,James
1474,Beverly,Howard
1475,Eugene,Wells
1476,Aaron,Rivera
1477,Ashley,Carpenter
1478,Barbara,Coleman
1479,Patricia,Hunt
1480,Angela,Washington
1481,Lawrence,Fuller
1482,Billy,Davis
1483,Stephanie,Barnes
1484,Margaret,Crawford
1485,Theresa,Ford
1486,Alice,Simpson
1487,Wanda,Snyder
1488,Margaret,Cruz
1489,Deborah,Andrews
1490,Charles,Ferguson
1491,Julia,Austin
1492,Kelly,Rogers
1493,Joe,Robertson
1494,Ryan,Medina
1495,Jennifer,Hudson
1496,Victor,Jackson
1497,Joan,Coleman
1498,Christine,Crawford
1499,Robin,Jacobs
1500,Thomas,Reynolds
1501,Annie,Fisher
1502,Theresa,Medina
1503,Tina,Sullivan
1504,Steve,Diaz
1505,Lisa,Gutierrez
1506,Stephen,Chavez
1507,Jean,Boyd
1508,Cynthia,George
1509,Carolyn,Mcdonald
1510,Sandra,King
1511,Dennis,Frazier
1512,Lori,Stanley
1513,Benjamin,Chapman
1514,Paul,Collins
1515,Frank,Schmidt
1516,Julie,Webb
1517,Cheryl,Price
1518,David,Carpenter
1519,Juan,Fernandez
1520,Wanda,Arnold
1521,Harold,Cole
1522,Justin,Jacobs
1523,Paula,Hawkins
1524,Steve,Kennedy
1525,George,Wells
1526,Ashley,Fernandez
1527,Joseph,Bowman
1528,Norma,Kelley
1529,Douglas,Gordon
1530,Christopher,Daniels
1531,Lisa,Franklin
1532,David,Brooks
1533,Ralph,Armstrong
1534,Carl,Frazier
1535,Barbara,Hunter
1536,Bruce,Dixon
1537,Kimberly,Alvarez
1538,Carolyn,Rice
1539,Mark,Frazier
1540,Deborah,Harper
1541,Larry,Smith
1542,Jason,Murphy
1543,Janet,Sims
1544,Carl,Sims
1545,Amanda,Duncan
1546,Kevin,Reed
1547,Eric,Harper
1548,Jose,Hamilton
1549,Anne,Holmes
1550,Harry,Boyd
1551,Kathryn,Walker
1552,Elizabeth,Torres
1553,Janet,Allen
1554,Denise,Reyes
1555,Johnny,Roberts
1556,Donna,Moreno
1557,Dorothy,Austin
1558,Nicholas,Hill
1559,Jonathan,Ray
1560,Shawn,Taylor
1561,Rachel,Graham
1562,Douglas,Kennedy
1563,Gary,Murphy
1564,Kathleen,Lee
1565,Tina,Miller
1566,Wanda,Lawrence
1567,Ann,Nichols
1568,Carl,Olson
1569,Jacqueline,Ortiz
1570,Johnny,Porter
1571,Bonnie,Sanchez
1572,Karen,James
1573,Helen,Rose
1574,Louis,Wilson
1575,Jesse,Fowler
1576,Dorothy,Fields
1577,Chris,Walker
1578,Johnny,Ruiz
1579,Catherine,Dixon
1580,Phillip,Hunt
1581,Ann,Armstrong
1582,Michael,Phillips
1583,Scott,Brown
1584,Betty,Arnold
1585,Robin,Peterson
1586,Juan,Ross
1587,Ruby,Frazier
1588,Michelle,Elliott
1589,Kathleen,Olson
1590,Arthur,Fields
1591,Jonathan,Kim
1592,Louis,Flores
1593,Todd,Fuller
1594,Bobby,Peterson
1595,Kelly,Jacobs
1596,Todd,Porter
1597,Jeffrey,Wheeler
1598,Diane,Baker
1599,Carl,Fowler
1600,Eugene,Hicks
1601,Richard,Jenkins
1602,Margaret,Carroll
1603,Rachel,Barnes
1604,Lisa,Lawson
1605,Russell,Larson
1606,Lawrence,Owens
1607,Cheryl,Fuller
1608,Henry,Lopez
1609,Todd,Mitchell
1610,William,Daniels
1611,Jerry,Castillo
1612,Albert,Ellis
1613,Rebecca,Ramirez
1614,Brandon,Armstrong
1615,Scott,Tucker
1616,Annie,Frazier
1617,Thomas,Evans
1618,Judith,Arnold
1619,Helen,Evans
1620,Billy,Baker
1621,Albert,Holmes
1622,Gary,Cole
1623,Lori,Rogers
1624,Carol,Wagner
1625,Walter,Lawson
1626,Dennis,Olson
1627,Craig,Olson
1628,Jessica,Myers
1629,Dennis,Wells
1630,James,Porter
1631,Patrick,Gray
1632,Marilyn,Smith
1633,Richard,Gardner
1634,Shawn,Richardson
1635,Judy,Bishop
1636,Catherine,Simmons
1637,Teresa,Perez
1638,Jeffrey,Andrews
1639,Evelyn,Hart
1640,Laura,Palmer
1641,Chris,Fuller
1642,Virginia,Banks
1643,Fred,Ramirez
1644,Aaron,Mitchell
1645,Helen,Stephens
1646,Cynthia,Hansen
1647,Tina,Moore
1648,Samuel,Robertson
1649,Albert,Richards
1650,Kathryn,Adams
1651,Earl,Evans
1652,Michelle,Webb
1653,Anna,King
1654,Ashley,Lopez
1655,Frances,Stevens
1656,Charles,Edwards
1657,Donald,Wright
1658,Amy,Dixon
1659,Adam,Kennedy
1660,Ronald,Turner
1661,Kimberly,Gibson
1662,Lisa,Dean
1663,Diane,Phillips
1664,Scott,Bishop
1665,Jane,Knight
1666,Judy,Cunningham
1667,Paula,Price
1668,Dennis,Jones
1669,Raymond,Duncan
1670,Sara,Wright
1671,Samuel,Green
1672,Willie,Williamson
1673,Ernest,Mcdonald
1674,Ryan,Lynch
1675,Philip,Jordan
1676,Karen,Harper
1677,Betty,Allen
1678,Phillip,Spencer
1679,Amy,Wood
1680,Sara,Gutierrez
1681,Lori,Garza
1682,Justin,Howard
1683,Cynthia,Sanchez
1684,Justin,Anderson
1685,Nicholas,Miller
1686,Helen,Gomez
1687,Carl,Stephens
1688,Linda,Hughes
1689,Frank,Bryant
1690,Betty,Chapman
1691,Philip,Hughes
1692,Theresa,Hart
1693,Janet,Crawford
1694,Carl,Gonzales
1695,Walter,Warren
1696,Beverly,Bell
1697,Amanda,Anderson
1698,Robin,Harvey
1699,Lois,James
1700,Joe,Cox
1701,Patricia,Hanson
1702,Beverly,Riley
1703,Theresa,Hanson
1704,Stephen,Jordan
1705,Martha,Edwards
1706,Bobby,Reynolds
1707,Philip,Lane
1708,Emily,Bennett
1709,Anne,Tucker
1710,Jennifer,Taylor
1711,Carl,Duncan
1712,Joan,Fields
1713,Cheryl,Hall
1714,Lawrence,Willis
1715,Jessica,Mason
1716,Lawrence,Morales
1717,Jean,Moore
1718,Keith,Turner
1719,Willie,Burton
1720,Ryan,Cole
1721,William,Hall
1722,Steve,Bryant
1723,Juan,Freeman
1724,Barbara,Stewart
1725,Antonio,Lane
1726,Tammy,Burke
1727,Jennifer,Howell
1728,Fred,Lopez
1729,David,Simpson
1730,Ann,Harvey
1731,Rachel,Morales
1732,Julia,Ward
1733,Judy,Dixon
1734,Mildred,Jacobs
1735,Tammy,Stevens
1736,Willie,Russell
1737,Irene,Holmes
1738,Russell,Jackson
1739,Terry,Little
1740,Janice,Fuller
1741,Roger,Wright
1742,Norma,Harris
1743,Eugene,Warren
1744,Howard,Frazier
1745,Cheryl,Ramos
1746,Victor,Bishop
1747,Amy,Howard
1748,Ronald,Carroll
1749,Rebecca,Fernandez
1750,Sara,Alvarez
1751,Matthew,Armstrong
1752,Christine,Williams
1753,Debra,Bowman
1754,Craig,Rivera
1755,Samuel,Day
1756,Willie,Kennedy
1757,Christina,Reid
1758,Donna,Williams
1759,Brandon,Medina
1760,Teresa,Franklin
1761,Earl,Cunningham
1762,Barbara,Nelson
1763,Cheryl,Stevens
1764,Jesse,Wood
1765,Craig,Reynolds
1766,Heather,Oliver
1767,Nancy,Edwards
1768,Samuel,Riley
1769,Brenda,Thomas
1770,Philip,Perez
1771,Paul,Hunter
1772,Carol,Gomez
1773,Angela,Griffin
1774,Roy,Reyes
1775,Edward,Stone
1776,Katherine,Matthews
1777,Robert,Chapman
1778,Annie,Welch
1779,David,Tucker
1780,Martin,Howard
1781,Lois,Fernandez
1782,Patricia,Sanders
1783,Jimmy,Collins
1784,Bruce,Stevens
1785,Larry,Pierce
1786,Joyce,Mitchell
1787,Rachel,Moore
1788,Kenneth,Reynolds
1789,Randy,Mitchell
1790,Sarah,Knight
1791,John,Henry
1792,Mary,Foster
1793,Katherine,Tucker
1794,Jacqueline,Pierce
1795,Richard,Pierce
1796,Billy,Rivera
1797,Paul,Lawson
1798,Ruth,Davis
1799,Kelly,Jenkins
1800,Norma,Peters
1801,Lois,Little
1802,Samuel,Jordan
1803,Linda,Webb
1804,Joe,Lynch
1805,Andrea,Fisher
1806,Edward,Peterson
1807,Theresa,Lewis
1808,Sarah,Jacobs
1809,Jonathan,George
1810,Dennis,Tucker
1811,Norma,Ramirez
1812,Mary,Cunningham
1813,Lois,Montgomery
1814,Jonathan,Evans
1815,Charles,Knight
1816,Christopher,Reed
1817,Carol,Weaver
1818,Howard,Fowler
1819,Christopher,Garcia
1820,Irene,Meyer
1821,Jeffrey,Rivera
1822,Dorothy,Wells
1823,Eugene,Hill
1824,Scott,Watkins
1825,Sarah,Graham
1826,Sharon,Welch
1827,Roger,Robertson
1828,Howard,Powell
1829,Donald,Fox
1830,Thomas,Patterson
1831,Howard,Owens
1832,Denise,Bishop
1833,Bobby,Olson
1834,Mary,Kelly
1835,Kathy,Dunn
1836,Kelly,James
1837,Wanda,Kelly
1838,Kelly,Brown
1839,Evelyn,White
1840,Janet,Spencer
1841,Nicholas,Spencer
1842,Betty,Cooper
1843,Carl,Jackson
1844,Wayne,Thompson
1845,Peter,Williamson
1846,Sandra,Cole
1847,Eugene,Smith
1848,Jacqueline,Hudson
1849,Matthew,Harper
1850,Debra,Reynolds
1851,Anne,Cunningham
1852,David,Alexander
1853,Bruce,Carroll
1854,Kathy,Stewart
1855,Rachel,Taylor
1856,Joan,Sullivan
1857,David,Wood
1858,Keith,Porter
1859,Bobby,Flores
1860,Jane,Olson
1861,Anthony,Ryan
1862,Clarence,Chapman
1863,Robert,Brown
1864,Norma,Williamson
1865,Sharon,Lewis
1866,Deborah,Little
1867,Lori,Woods
1868,Julia,Mcdonald
1869,Joyce,Little
1870,Stephanie,Meyer
1871,Melissa,Roberts
1872,Nicholas,Wallace
1873,Kevin,Wheeler
1874,Carlos,Hansen
1875,Donna,Watson
1876,Jeffrey,Tucker
1877,Rose,Young
1878,Annie,Simmons
1879,Russell,Elliott
1880,Keith,Welch
1881,Antonio,Warren
1882,Ernest,Austin
1883,Phillip,Hanson
1884,Wayne,Williams
1885,Emily,George
1886,Nicholas,Sullivan
1887,Linda,Carter
1888,Shawn,Griffin
1889,Dorothy,Mitchell
1890,Nicole,Campbell
1891,Jeffrey,Shaw
1892,Gloria,Cox
1893,Martin,Oliver
1894,Kevin,Russell
1895,Donald,Harris
1896,Teresa,Peterson
1897,Frances,Lynch
1898,Scott,Gordon
1899,Thomas,Hunter
1900,Janet,Hawkins
1901,Donna,Fuller
1902,Karen,Welch
1903,Lois,Gibson
1904,Randy,Dixon
1905,Jack,Williamson
1906,Lisa,Ramirez
1907,Denise,Hall
1908,Samuel,Williamson
1909,Keith,Garcia
1910,Keith,Wallace
1911,Keith,Allen
1912,Stephen,Bennett
1913,Joshua,Jacobs
1914,Dorothy,Fernandez
1915,Anne,Payne
1916,Tina,Payne
1917,Sandra,Stevens
1918,Joseph,Mendoza
1919,Rose,Hamilton
1920,Beverly,Butler
1921,Aaron,Oliver
1922,Carol,Nichols
1923,Earl,Harrison
1924,Theresa,Hunter
1925,Anthony,Hart
1926,Lisa,Martin
1927,Linda,Brooks
1928,Judy,Nguyen
1929,Bonnie,Hamilton
1930,Margaret,Ruiz
1931,Frances,Stevens
1932,Teresa,Roberts
1933,Gloria,Hernandez
1934,Gregory,Tucker
1935,Catherine,Medina
1936,Phyllis,Richardson
1937,Robert,Hayes
1938,Daniel,Morgan
1939,Ralph,Wallace
1940,Andrew,Stone
1941,Howard,Nichols
1942,Katherine,West
1943,Terry,King
1944,Helen,Lewis
1945,Paula,Hayes
1946,Martin,Harris
1947,Justin,Walker
1948,Annie,Perry
1949,Paul,Torres
1950,Robin,Johnston
1951,Ryan,Foster
1952,Margaret,Fowler
1953,Heather,Stephens
1954,Janice,Ramos
1955,Heather,Bryant
1956,Ruth,Lewis
1957,Kathy,Lawson
1958,Kathleen,Jenkins
1959,Antonio,Wallace
1960,Clarence,Murray
1961,Carlos,Hansen
1962,Donald,Mason
1963,Frances,Turner
1964,Marie,Montgomery
1965,Diane,Baker
1966,Marie,Price
1967,Christina,Marshall
1968,Edward,Arnold
1969,Craig,Wood
1970,Benjamin,Brooks
1971,Judith,Murphy
1972,Lisa,Banks
1973,Annie,Kelly
1974,Phillip,Hart
1975,Anne,Long
1976,Catherine,Knight
1977,Catherine,Brown
1978,Jacqueline,Welch
1979,Carlos,Hanson
1980,Walter,Kelley
1981,Bonnie,Gutierrez
1982,Anna,Riley
1983,Julia,Hunter
1984,Christina,Evans
1985,Craig,Fowler
1986,Gregory,Stevens
1987,Eugene,Peterson
1988,Eric,Carpenter
1989,Shirley,West
1990,Steve,Graham
1991,Sarah,Sanders
1992,Diana,Gibson
1993,Denise,Castillo
1994,Christina,Gordon
1995,Heather,Griffin
1996,Christina,Lawson
1997,Debra,Jenkins
1998,Jose,Murphy
1999,Anna,Coleman
2000,Jack,Jacobs
2001,Marie,Diaz
2002,Kenneth,Scott
2003,Susan,Elliott
2004,Peter,Gilbert
2005,Russell,Coleman
2006,Marie,Stevens
2007,Doris,Ortiz
2008,Marilyn,Alvarez
2009,Amanda,Sanders
2010,Lisa,Patterson
2011,Dorothy,Medina
2012,Judith,Ellis
2013,Gary,Marshall
2014,Bruce,Cole
2015,Benjamin,Martin
2016,Jacqueline,Lynch
2017,Christopher,Duncan
2018,George,Moreno
2019,Roger,Murphy
2020,Marie,Austin
2021,Andrew,Harrison
2022,Carolyn,Wells
2023,Christopher,Marshall
2024,Ruby,Romero
2025,Sara,Sanchez
2026,Ruth,Freeman
2027,Deborah,Mason
