customerid,cardnumber,cvvno,authfactor,cardtype,currencyid,issuemonth,issueyear,validuptomonth,validuptoyear,creditlimit,cashlimit,cardstatusid
23,5212345678900023,123,MA348930,2,1,3,2014,3,2020,43624.0,4362.4,1
24,5212345678900024,156,MA656063,2,1,12,2014,12,2020,20254.0,2025.4,1
25,5212345678900025,831,MA588369,2,1,1,2014,1,2019,26936.0,2693.6,1
26,5212345678900026,865,MA598145,2,1,8,2014,8,2018,49922.0,4992.2,1
27,5212345678900027,504,VI641541,1,1,5,2014,5,2020,60306.0,6030.6,1
28,5212345678900028,515,MA296701,2,1,5,2014,5,2018,33942.0,3394.2,1
29,5212345678900029,146,VI433738,1,1,10,2014,10,2020,16134.0,1613.4,1
30,5212345678900030,342,MA883691,2,1,10,2014,10,2017,32604.0,3260.4,1
31,5212345678900031,387,MA213427,2,1,8,2014,8,2018,48976.0,4897.6,1
32,5212345678900032,965,VI892520,1,1,12,2014,12,2018,56336.0,5633.6,1
33,5212345678900033,706,VI754930,1,1,10,2014,10,2018,23414.0,2341.4,1
34,5212345678900034,817,MA615429,2,1,10,2014,10,2018,65182.0,6518.2,1
35,5212345678900035,442,MA158554,2,1,11,2014,11,2019,15640.0,1564.0,1
36,5212345678900036,549,VI902462,1,1,8,2014,8,2017,54138.0,5413.8,1
37,5212345678900037,379,MA905042,2,1,3,2014,3,2019,18038.0,1803.8,1
38,5212345678900038,686,VI522255,1,1,8,2014,8,2018,56032.0,5603.2,1
39,5212345678900039,752,VI827201,1,1,1,2014,1,2017,32334.0,3233.4,1
40,5212345678900040,461,MA381699,2,1,7,2014,7,2019,61062.0,6106.2,1
41,5212345678900041,867,MA576008,2,1,3,2014,3,2019,16826.0,1682.6,1
42,5212345678900042,890,AM214391,3,1,9,2014,9,2019,16762.0,1676.2,1
43,5212345678900043,606,VI691355,1,1,8,2014,8,2018,15658.0,1565.8,1
44,5212345678900044,831,VI387865,1,1,7,2014,7,2018,36620.0,3662.0,1
45,5212345678900045,623,MA391405,2,1,4,2014,4,2019,49408.0,4940.8,1
46,5212345678900046,858,VI319389,1,1,10,2014,10,2019,43372.0,4337.2,1
47,5212345678900047,889,AM963111,3,1,1,2014,1,2017,65064.0,6506.4,1
48,5212345678900048,468,VI292014,1,1,3,2014,3,2018,42684.0,4268.4,1
49,5212345678900049,754,MA710049,2,1,1,2014,1,2018,8102.0,810.2,1
50,5212345678900050,940,VI822676,1,1,3,2014,3,2020,20234.0,2023.4,1
51,5212345678900051,247,VI618830,1,1,11,2014,11,2019,55698.0,5569.8,1
52,5212345678900052,377,VI653484,1,1,2,2014,2,2019,18210.0,1821.0,1
53,5212345678900053,913,MA833596,2,1,9,2014,9,2017,59792.0,5979.2,1
54,5212345678900054,355,VI893967,1,1,6,2014,6,2020,28302.0,2830.2,1
55,5212345678900055,951,VI164820,1,1,1,2014,1,2018,61040.0,6104.0,1
56,5212345678900056,602,VI483958,1,1,9,2014,9,2020,40486.0,4048.6,1
57,5212345678900057,667,VI440783,1,1,10,2014,10,2017,53010.0,5301.0,1
58,5212345678900058,215,MA373220,2,1,10,2014,10,2019,36082.0,3608.2,1
59,5212345678900059,567,VI545531,1,1,5,2014,5,2017,65130.0,6513.0,1
60,5212345678900060,530,VI798612,1,1,1,2014,1,2019,28708.0,2870.8,1
61,5212345678900061,844,VI543645,1,1,2,2014,2,2018,45080.0,4508.0,1
62,5212345678900062,979,MA383140,2,1,10,2014,10,2019,43368.0,4336.8,1
63,5212345678900063,276,VI535767,1,1,5,2014,5,2020,44594.0,4459.4,1
64,5212345678900064,662,MA786740,2,1,11,2014,11,2018,52596.0,5259.6,1
65,5212345678900065,484,AM692764,3,1,4,2014,4,2018,36076.0,3607.6,1
66,5212345678900066,815,MA345602,2,1,12,2014,12,2019,54278.0,5427.8,1
67,5212345678900067,721,VI849160,1,1,8,2014,8,2019,55462.0,5546.2,1
68,5212345678900068,670,MA242762,2,1,5,2014,5,2018,56774.0,5677.4,1
69,5212345678900069,871,MA617429,2,1,9,2014,9,2020,47720.0,4772.0,1
70,5212345678900070,223,VI463673,1,1,4,2014,4,2020,9502.0,950.2,1
71,5212345678900071,148,VI149129,1,1,6,2014,6,2019,23116.0,2311.6,1
72,5212345678900072,927,MA762837,2,1,5,2014,5,2018,51112.0,5111.2,1
73,5212345678900073,640,VI694497,1,1,1,2014,1,2018,62122.0,6212.2,1
74,5212345678900074,888,MA419482,2,1,8,2014,8,2020,47346.0,4734.6,1
75,5212345678900075,756,MA322912,2,1,7,2014,7,2020,51676.0,5167.6,1
76,5212345678900076,728,VI495198,1,1,12,2014,12,2018,23222.0,2322.2,1
77,5212345678900077,535,VI310337,1,1,11,2014,11,2019,54922.0,5492.2,1
78,5212345678900078,794,VI459580,1,1,5,2014,5,2019,56842.0,5684.2,1
79,5212345678900079,184,AM440785,3,1,6,2014,6,2018,24106.0,2410.6,1
80,5212345678900080,835,MA327181,2,1,6,2014,6,2018,34372.0,3437.2,1
81,5212345678900081,759,VI518587,1,1,9,2014,9,2017,19662.0,1966.2,1
82,5212345678900082,973,VI265453,1,1,8,2014,8,2017,25468.0,2546.8,1
83,5212345678900083,375,MA603960,2,1,10,2014,10,2017,57282.0,5728.2,1
84,5212345678900084,600,VI424919,1,1,7,2014,7,2017,24972.0,2497.2,1
85,5212345678900085,122,VI915537,1,1,9,2014,9,2020,63356.0,6335.6,1
86,5212345678900086,395,MA589325,2,1,11,2014,11,2019,15322.0,1532.2,1
87,5212345678900087,638,MA570443,2,1,3,2014,3,2017,57536.0,5753.6,1
88,5212345678900088,229,VI847766,1,1,4,2014,4,2020,28878.0,2887.8,1
89,5212345678900089,486,VI133810,1,1,6,2014,6,2019,41912.0,4191.2,1
90,5212345678900090,108,MA692648,2,1,1,2014,1,2019,50906.0,5090.6,1
91,5212345678900091,320,VI164784,1,1,2,2014,2,2020,46432.0,4643.2,1
92,5212345678900092,472,MA962453,2,1,8,2014,8,2019,18602.0,1860.2,1
93,5212345678900093,381,VI634673,1,1,9,2014,9,2017,24454.0,2445.4,1
94,5212345678900094,882,AM142324,3,1,12,2014,12,2020,33780.0,3378.0,1
95,5212345678900095,299,MA983124,2,1,9,2014,9,2018,42292.0,4229.2,1
96,5212345678900096,511,VI110121,1,1,11,2014,11,2019,65244.0,6524.4,1
97,5212345678900097,412,VI545820,1,1,3,2014,3,2020,43420.0,4342.0,1
98,5212345678900098,733,VI538805,1,1,4,2014,4,2020,63734.0,6373.4,1
99,5212345678900099,214,VI593465,1,1,5,2014,5,2018,29604.0,2960.4,1
100,5212345678900100,569,VI721935,1,1,2,2014,2,2017,20564.0,2056.4,1
101,5212345678900101,609,VI836859,1,1,3,2014,3,2019,17962.0,1796.2,1
102,5212345678900102,981,VI932859,1,1,7,2014,7,2017,21576.0,2157.6,1
103,5212345678900103,204,VI935679,1,1,10,2014,10,2019,44316.0,4431.6,1
104,5212345678900104,833,VI489806,1,1,8,2014,8,2020,23526.0,2352.6,1
105,5212345678900105,149,VI993288,1,1,2,2014,2,2020,19360.0,1936.0,1
106,5212345678900106,894,VI568174,1,1,6,2014,6,2019,60758.0,6075.8,1
107,5212345678900107,727,VI964697,1,1,4,2014,4,2019,54272.0,5427.2,1
108,5212345678900108,908,VI221390,1,1,5,2014,5,2017,59580.0,5958.0,1
109,5212345678900109,673,VI617641,1,1,9,2014,9,2020,19420.0,1942.0,1
110,5212345678900110,233,VI132515,1,1,4,2014,4,2018,8906.0,890.6,1
111,5212345678900111,423,MA861332,2,1,4,2014,4,2020,58002.0,5800.2,1
112,5212345678900112,123,VI376829,1,1,1,2014,1,2020,51580.0,5158.0,1
113,5212345678900113,336,MA880952,2,1,12,2014,12,2018,21486.0,2148.6,1
114,5212345678900114,945,VI437037,1,1,7,2014,7,2020,23916.0,2391.6,1
115,5212345678900115,101,MA427510,2,1,2,2014,2,2017,21574.0,2157.4,1
116,5212345678900116,165,VI554241,1,1,6,2014,6,2017,40400.0,4040.0,1
117,5212345678900117,715,VI467884,1,1,11,2014,11,2020,24956.0,2495.6,1
118,5212345678900118,906,VI256059,1,1,5,2014,5,2020,63696.0,6369.6,1
119,5212345678900119,428,VI719586,1,1,3,2014,3,2018,26086.0,2608.6,1
120,5212345678900120,599,VI481631,1,1,4,2014,4,2017,12120.0,1212.0,1
121,5212345678900121,666,AM657549,3,1,5,2014,5,2017,29688.0,2968.8,1
122,5212345678900122,977,MA707550,2,1,10,2014,10,2018,7862.0,786.2,1
123,5212345678900123,763,VI214077,1,1,8,2014,8,2019,33344.0,3334.4,1
124,5212345678900124,611,AM468626,3,1,5,2014,5,2020,28268.0,2826.8,1
125,5212345678900125,406,MA243576,2,1,11,2014,11,2018,43910.0,4391.0,1
126,5212345678900126,203,MA337895,2,1,4,2014,4,2020,45670.0,4567.0,1
127,5212345678900127,484,AM207357,3,1,11,2014,11,2018,28842.0,2884.2,1
128,5212345678900128,697,MA781166,2,1,9,2014,9,2017,52336.0,5233.6,1
129,5212345678900129,447,VI735874,1,1,11,2014,11,2020,41890.0,4189.0,1
130,5212345678900130,248,AM696097,3,1,4,2014,4,2018,23456.0,2345.6,1
131,5212345678900131,459,VI365535,1,1,7,2014,7,2017,11966.0,1196.6,1
132,5212345678900132,114,MA684684,2,1,12,2014,12,2019,28038.0,2803.8,1
133,5212345678900133,325,VI618766,1,1,3,2014,3,2018,26436.0,2643.6,1
134,5212345678900134,405,MA374435,2,1,11,2014,11,2020,33626.0,3362.6,1
135,5212345678900135,849,MA157894,2,1,9,2014,9,2018,29014.0,2901.4,1
136,5212345678900136,939,VI532973,1,1,8,2014,8,2018,25912.0,2591.2,1
137,5212345678900137,737,VI940573,1,1,3,2014,3,2020,36912.0,3691.2,1
138,5212345678900138,672,VI597950,1,1,6,2014,6,2019,54378.0,5437.8,1
139,5212345678900139,724,VI431332,1,1,2,2014,2,2017,9886.0,988.6,1
140,5212345678900140,166,VI946432,1,1,9,2014,9,2019,15908.0,1590.8,1
141,5212345678900141,736,VI319860,1,1,4,2014,4,2017,44510.0,4451.0,1
142,5212345678900142,372,AM832836,3,1,11,2014,11,2020,50134.0,5013.4,1
143,5212345678900143,317,VI217205,1,1,7,2014,7,2018,58114.0,5811.4,1
144,5212345678900144,867,MA548852,2,1,11,2014,11,2018,55320.0,5532.0,1
145,5212345678900145,194,MA871418,2,1,10,2014,10,2018,28228.0,2822.8,1
146,5212345678900146,690,VI974838,1,1,4,2014,4,2018,51066.0,5106.6,1
147,5212345678900147,183,MA725095,2,1,4,2014,4,2018,30198.0,3019.8,1
148,5212345678900148,516,AM328628,3,1,2,2014,2,2020,56602.0,5660.2,1
149,5212345678900149,507,VI818090,1,1,3,2014,3,2017,36128.0,3612.8,1
150,5212345678900150,903,VI102636,1,1,2,2014,2,2018,29018.0,2901.8,1
151,5212345678900151,363,VI724280,1,1,11,2014,11,2019,53034.0,5303.4,1
152,5212345678900152,733,VI181724,1,1,2,2014,2,2017,61690.0,6169.0,1
153,5212345678900153,546,VI248566,1,1,1,2014,1,2017,65822.0,6582.2,1
154,5212345678900154,281,VI398659,1,1,6,2014,6,2018,23658.0,2365.8,1
155,5212345678900155,740,VI282352,1,1,3,2014,3,2018,22118.0,2211.8,1
156,5212345678900156,626,AM942188,3,1,2,2014,2,2019,10324.0,1032.4,1
157,5212345678900157,798,MA988509,2,1,8,2014,8,2018,36412.0,3641.2,1
158,5212345678900158,769,VI896390,1,1,1,2014,1,2017,7024.0,702.4,1
159,5212345678900159,667,VI711657,1,1,2,2014,2,2020,19346.0,1934.6,1
160,5212345678900160,209,AM749836,3,1,9,2014,9,2018,57460.0,5746.0,1
161,5212345678900161,466,MA813733,2,1,5,2014,5,2017,61272.0,6127.2,1
162,5212345678900162,858,MA329866,2,1,4,2014,4,2019,25476.0,2547.6,1
163,5212345678900163,510,VI309986,1,1,8,2014,8,2020,55552.0,5555.2,1
164,5212345678900164,528,VI931704,1,1,3,2014,3,2017,15564.0,1556.4,1
165,5212345678900165,212,VI772453,1,1,8,2014,8,2017,23732.0,2373.2,1
166,5212345678900166,439,MA580991,2,1,10,2014,10,2019,37708.0,3770.8,1
167,5212345678900167,995,MA219877,2,1,4,2014,4,2020,47104.0,4710.4,1
168,5212345678900168,109,VI347132,1,1,4,2014,4,2019,21790.0,2179.0,1
169,5212345678900169,879,VI730538,1,1,8,2014,8,2019,11518.0,1151.8,1
170,5212345678900170,781,VI598969,1,1,9,2014,9,2019,64014.0,6401.4,1
171,5212345678900171,632,VI894443,1,1,5,2014,5,2018,36170.0,3617.0,1
172,5212345678900172,675,VI186323,1,1,5,2014,5,2017,66340.0,6634.0,1
173,5212345678900173,219,VI613121,1,1,11,2014,11,2018,53160.0,5316.0,1
174,5212345678900174,437,VI722141,1,1,8,2014,8,2019,17348.0,1734.8,1
175,5212345678900175,469,VI732646,1,1,2,2014,2,2020,33560.0,3356.0,1
176,5212345678900176,255,VI886011,1,1,11,2014,11,2020,20860.0,2086.0,1
177,5212345678900177,136,AM353264,3,1,11,2014,11,2019,34826.0,3482.6,1
178,5212345678900178,562,MA324158,2,1,11,2014,11,2019,55476.0,5547.6,1
179,5212345678900179,729,VI596752,1,1,9,2014,9,2019,29086.0,2908.6,1
180,5212345678900180,212,VI612611,1,1,8,2014,8,2020,21736.0,2173.6,1
181,5212345678900181,118,AM927532,3,1,5,2014,5,2017,64342.0,6434.2,1
182,5212345678900182,374,VI241758,1,1,8,2014,8,2017,64772.0,6477.2,1
183,5212345678900183,420,VI381611,1,1,1,2014,1,2018,20792.0,2079.2,1
184,5212345678900184,518,MA394556,2,1,8,2014,8,2017,58662.0,5866.2,1
185,5212345678900185,836,MA217763,2,1,1,2014,1,2020,6842.0,684.2,1
186,5212345678900186,488,MA861788,2,1,10,2014,10,2017,7238.0,723.8,1
187,5212345678900187,547,MA716210,2,1,6,2014,6,2019,34186.0,3418.6,1
188,5212345678900188,565,VI326829,1,1,4,2014,4,2017,10436.0,1043.6,1
189,5212345678900189,947,MA206400,2,1,3,2014,3,2020,18824.0,1882.4,1
190,5212345678900190,637,MA410213,2,1,7,2014,7,2017,52368.0,5236.8,1
191,5212345678900191,887,VI396618,1,1,4,2014,4,2017,34800.0,3480.0,1
192,5212345678900192,445,VI110937,1,1,3,2014,3,2019,42766.0,4276.6,1
193,5212345678900193,264,VI766363,1,1,12,2014,12,2018,13308.0,1330.8,1
194,5212345678900194,428,VI294571,1,1,7,2014,7,2020,22772.0,2277.2,1
195,5212345678900195,109,VI307977,1,1,8,2014,8,2018,43682.0,4368.2,1
196,5212345678900196,130,VI760443,1,1,7,2014,7,2018,40858.0,4085.8,1
197,5212345678900197,634,VI313480,1,1,9,2014,9,2017,31108.0,3110.8,1
198,5212345678900198,429,VI770476,1,1,2,2014,2,2017,53862.0,5386.2,1
199,5212345678900199,607,MA212716,2,1,8,2014,8,2017,42040.0,4204.0,1
200,5212345678900200,411,VI960315,1,1,9,2014,9,2018,28934.0,2893.4,1
201,5212345678900201,594,MA861982,2,1,12,2014,12,2020,26638.0,2663.8,1
202,5212345678900202,251,MA913480,2,1,9,2014,9,2019,14724.0,1472.4,1
203,5212345678900203,691,VI390604,1,1,9,2014,9,2017,50606.0,5060.6,1
204,5212345678900204,206,VI389536,1,1,11,2014,11,2019,43740.0,4374.0,1
205,5212345678900205,857,MA695941,2,1,4,2014,4,2017,51976.0,5197.6,1
206,5212345678900206,318,VI257033,1,1,4,2014,4,2018,29042.0,2904.2,1
207,5212345678900207,692,VI780757,1,1,4,2014,4,2018,43792.0,4379.2,1
208,5212345678900208,365,VI512262,1,1,6,2014,6,2018,58870.0,5887.0,1
209,5212345678900209,862,VI199723,1,1,10,2014,10,2018,44562.0,4456.2,1
210,5212345678900210,168,VI399092,1,1,8,2014,8,2019,54638.0,5463.8,1
211,5212345678900211,805,VI911671,1,1,4,2014,4,2017,9950.0,995.0,1
212,5212345678900212,838,MA250277,2,1,2,2014,2,2018,33570.0,3357.0,1
213,5212345678900213,289,MA347906,2,1,2,2014,2,2019,36216.0,3621.6,1
214,5212345678900214,131,VI410371,1,1,8,2014,8,2019,15392.0,1539.2,1
215,5212345678900215,185,VI370751,1,1,11,2014,11,2019,25390.0,2539.0,1
216,5212345678900216,418,MA410711,2,1,6,2014,6,2018,52416.0,5241.6,1
217,5212345678900217,182,MA727267,2,1,7,2014,7,2020,26810.0,2681.0,1
218,5212345678900218,546,VI890183,1,1,12,2014,12,2018,23614.0,2361.4,1
219,5212345678900219,182,VI215211,1,1,9,2014,9,2017,59270.0,5927.0,1
220,5212345678900220,285,MA880458,2,1,11,2014,11,2020,55278.0,5527.8,1
221,5212345678900221,151,MA249098,2,1,11,2014,11,2019,56040.0,5604.0,1
222,5212345678900222,427,VI209779,1,1,1,2014,1,2017,12714.0,1271.4,1
223,5212345678900223,162,VI382770,1,1,7,2014,7,2018,24880.0,2488.0,1
224,5212345678900224,914,MA479099,2,1,2,2014,2,2017,11564.0,1156.4,1
225,5212345678900225,345,VI888930,1,1,2,2014,2,2018,51470.0,5147.0,1
226,5212345678900226,462,VI771620,1,1,9,2014,9,2019,44274.0,4427.4,1
227,5212345678900227,345,MA832617,2,1,6,2014,6,2019,23754.0,2375.4,1
228,5212345678900228,694,MA758804,2,1,12,2014,12,2019,30484.0,3048.4,1
229,5212345678900229,499,VI359716,1,1,2,2014,2,2018,46522.0,4652.2,1
230,5212345678900230,119,VI587121,1,1,2,2014,2,2018,60264.0,6026.4,1
231,5212345678900231,333,VI559207,1,1,2,2014,2,2018,38966.0,3896.6,1
232,5212345678900232,216,VI610584,1,1,2,2014,2,2020,10182.0,1018.2,1
233,5212345678900233,419,VI279303,1,1,9,2014,9,2019,48602.0,4860.2,1
234,5212345678900234,572,MA170391,2,1,8,2014,8,2018,26528.0,2652.8,1
235,5212345678900235,571,MA534339,2,1,10,2014,10,2020,27868.0,2786.8,1
236,5212345678900236,494,VI599512,1,1,4,2014,4,2020,11074.0,1107.4,1
237,5212345678900237,814,MA137423,2,1,7,2014,7,2017,43608.0,4360.8,1
238,5212345678900238,311,MA974814,2,1,11,2014,11,2018,64970.0,6497.0,1
239,5212345678900239,425,VI203552,1,1,1,2014,1,2017,61256.0,6125.6,1
240,5212345678900240,399,MA615027,2,1,3,2014,3,2020,8038.0,803.8,1
241,5212345678900241,289,VI382175,1,1,2,2014,2,2020,20316.0,2031.6,1
242,5212345678900242,930,VI721200,1,1,2,2014,2,2019,12372.0,1237.2,1
243,5212345678900243,516,VI132958,1,1,3,2014,3,2017,17320.0,1732.0,1
244,5212345678900244,609,VI390215,1,1,11,2014,11,2018,56676.0,5667.6,1
245,5212345678900245,166,VI984432,1,1,7,2014,7,2019,61446.0,6144.6,1
246,5212345678900246,955,MA324352,2,1,12,2014,12,2020,48182.0,4818.2,1
247,5212345678900247,442,VI221361,1,1,5,2014,5,2019,26018.0,2601.8,1
248,5212345678900248,913,AM554117,3,1,12,2014,12,2019,59980.0,5998.0,1
249,5212345678900249,436,MA304139,2,1,6,2014,6,2018,57018.0,5701.8,1
250,5212345678900250,798,MA722689,2,1,5,2014,5,2020,34060.0,3406.0,1
251,5212345678900251,521,VI970168,1,1,3,2014,3,2017,40990.0,4099.0,1
252,5212345678900252,405,MA911258,2,1,1,2014,1,2019,31754.0,3175.4,1
253,5212345678900253,938,AM892074,3,1,4,2014,4,2017,52442.0,5244.2,1
254,5212345678900254,288,AM149963,3,1,12,2014,12,2019,39542.0,3954.2,1
255,5212345678900255,634,MA773225,2,1,9,2014,9,2017,42954.0,4295.4,1
256,5212345678900256,215,VI513321,1,1,7,2014,7,2018,31410.0,3141.0,1
257,5212345678900257,565,VI479161,1,1,5,2014,5,2017,53766.0,5376.6,1
258,5212345678900258,947,VI479126,1,1,9,2014,9,2017,18408.0,1840.8,1
259,5212345678900259,543,MA497119,2,1,1,2014,1,2017,47522.0,4752.2,1
260,5212345678900260,153,MA390259,2,1,8,2014,8,2020,53058.0,5305.8,1
261,5212345678900261,597,MA386351,2,1,4,2014,4,2018,31932.0,3193.2,1
262,5212345678900262,297,VI111122,1,1,10,2014,10,2018,30410.0,3041.0,1
263,5212345678900263,369,AM779375,3,1,5,2014,5,2017,55980.0,5598.0,1
264,5212345678900264,160,VI257775,1,1,8,2014,8,2017,12258.0,1225.8,1
265,5212345678900265,941,MA769060,2,1,9,2014,9,2019,35706.0,3570.6,1
266,5212345678900266,769,MA527785,2,1,1,2014,1,2018,25730.0,2573.0,1
267,5212345678900267,781,MA615741,2,1,12,2014,12,2020,56848.0,5684.8,1
268,5212345678900268,752,MA317883,2,1,12,2014,12,2018,7706.0,770.6,1
269,5212345678900269,875,MA507167,2,1,10,2014,10,2019,64012.0,6401.2,1
270,5212345678900270,218,MA236254,2,1,4,2014,4,2017,49428.0,4942.8,1
271,5212345678900271,944,VI332661,1,1,6,2014,6,2019,9718.0,971.8,1
272,5212345678900272,454,VI741414,1,1,6,2014,6,2018,15932.0,1593.2,1
273,5212345678900273,871,MA357506,2,1,10,2014,10,2018,39536.0,3953.6,1
274,5212345678900274,494,VI506073,1,1,4,2014,4,2018,23698.0,2369.8,1
275,5212345678900275,229,VI652223,1,1,1,2014,1,2017,18142.0,1814.2,1
276,5212345678900276,685,VI696722,1,1,10,2014,10,2019,28622.0,2862.2,1
277,5212345678900277,786,MA544798,2,1,3,2014,3,2020,29274.0,2927.4,1
278,5212345678900278,607,AM124451,3,1,8,2014,8,2018,44336.0,4433.6,1
279,5212345678900279,687,AM359749,3,1,10,2014,10,2017,29294.0,2929.4,1
280,5212345678900280,475,MA883427,2,1,9,2014,9,2018,31324.0,3132.4,1
281,5212345678900281,953,VI124306,1,1,4,2014,4,2020,13738.0,1373.8,1
282,5212345678900282,203,VI239398,1,1,6,2014,6,2020,32356.0,3235.6,1
283,5212345678900283,920,VI115935,1,1,1,2014,1,2017,62002.0,6200.2,1
284,5212345678900284,291,MA991461,2,1,10,2014,10,2018,38764.0,3876.4,1
285,5212345678900285,351,VI596369,1,1,5,2014,5,2017,23858.0,2385.8,1
286,5212345678900286,342,MA343984,2,1,8,2014,8,2020,19186.0,1918.6,1
287,5212345678900287,862,MA162383,2,1,11,2014,11,2018,58880.0,5888.0,1
288,5212345678900288,472,VI851892,1,1,7,2014,7,2018,9618.0,961.8,1
289,5212345678900289,427,VI409743,1,1,7,2014,7,2018,31708.0,3170.8,1
290,5212345678900290,906,VI748268,1,1,9,2014,9,2017,57384.0,5738.4,1
291,5212345678900291,532,VI336972,1,1,2,2014,2,2020,49908.0,4990.8,1
292,5212345678900292,807,VI270484,1,1,3,2014,3,2020,8912.0,891.2,1
293,5212345678900293,753,MA130259,2,1,1,2014,1,2019,40200.0,4020.0,1
294,5212345678900294,758,MA329425,2,1,9,2014,9,2020,29646.0,2964.6,1
295,5212345678900295,455,AM150134,3,1,4,2014,4,2018,27430.0,2743.0,1
296,5212345678900296,979,VI709721,1,1,5,2014,5,2019,11316.0,1131.6,1
297,5212345678900297,180,VI656902,1,1,2,2014,2,2017,33740.0,3374.0,1
298,5212345678900298,681,VI429136,1,1,3,2014,3,2017,57584.0,5758.4,1
299,5212345678900299,196,AM309525,3,1,6,2014,6,2020,36252.0,3625.2,1
300,5212345678900300,428,MA422341,2,1,7,2014,7,2018,51710.0,5171.0,1
301,5212345678900301,335,MA169359,2,1,11,2014,11,2017,53802.0,5380.2,1
302,5212345678900302,116,VI934199,1,1,12,2014,12,2018,50594.0,5059.4,1
303,5212345678900303,599,VI468330,1,1,4,2014,4,2018,37596.0,3759.6,1
304,5212345678900304,819,VI146460,1,1,8,2014,8,2020,29828.0,2982.8,1
305,5212345678900305,161,VI446844,1,1,5,2014,5,2020,25102.0,2510.2,1
306,5212345678900306,177,VI852835,1,1,8,2014,8,2020,41640.0,4164.0,1
307,5212345678900307,982,VI731097,1,1,4,2014,4,2017,17448.0,1744.8,1
308,5212345678900308,596,VI174334,1,1,11,2014,11,2019,8926.0,892.6,1
309,5212345678900309,937,MA235943,2,1,9,2014,9,2020,23574.0,2357.4,1
310,5212345678900310,154,MA630637,2,1,7,2014,7,2018,13926.0,1392.6,1
311,5212345678900311,931,VI894858,1,1,9,2014,9,2018,22840.0,2284.0,1
312,5212345678900312,734,AM974944,3,1,4,2014,4,2018,34568.0,3456.8,1
313,5212345678900313,453,MA320575,2,1,1,2014,1,2018,46482.0,4648.2,1
314,5212345678900314,640,MA649928,2,1,4,2014,4,2020,28716.0,2871.6,1
315,5212345678900315,257,MA880586,2,1,8,2014,8,2019,64150.0,6415.0,1
316,5212345678900316,878,VI485976,1,1,1,2014,1,2020,7066.0,706.6,1
317,5212345678900317,693,VI285503,1,1,6,2014,6,2017,64988.0,6498.8,1
318,5212345678900318,112,VI996648,1,1,3,2014,3,2017,49608.0,4960.8,1
319,5212345678900319,251,VI901941,1,1,4,2014,4,2020,27210.0,2721.0,1
320,5212345678900320,670,VI752369,1,1,10,2014,10,2017,21326.0,2132.6,1
321,5212345678900321,450,VI994617,1,1,8,2014,8,2020,47194.0,4719.4,1
322,5212345678900322,483,MA133446,2,1,3,2014,3,2020,17024.0,1702.4,1
323,5212345678900323,287,MA910609,2,1,3,2014,3,2019,32716.0,3271.6,1
324,5212345678900324,160,AM350719,3,1,8,2014,8,2017,51730.0,5173.0,1
325,5212345678900325,346,AM960838,3,1,9,2014,9,2019,61668.0,6166.8,1
326,5212345678900326,923,MA607525,2,1,9,2014,9,2018,33656.0,3365.6,1
327,5212345678900327,781,VI516587,1,1,7,2014,7,2020,27874.0,2787.4,1
328,5212345678900328,870,VI640806,1,1,4,2014,4,2017,44208.0,4420.8,1
329,5212345678900329,366,VI927510,1,1,7,2014,7,2020,7132.0,713.2,1
330,5212345678900330,585,MA636131,2,1,2,2014,2,2018,53860.0,5386.0,1
