id,loannumber,wiretypeid,fromBank,fromaccountid,amount,whentime
51,51,1,SBINUS39XXX,491731,5063.0,2014-02-10 20:34:48
52,52,1,SBINUS39XXX,306189,1655.0,2014-02-10 20:34:48
53,53,1,SBINUS39XXX,943992,5435.0,2014-02-10 20:34:48
54,54,1,SBINUS39XXX,163625,2573.0,2014-02-10 20:34:48
55,55,1,SBINUS39XXX,826972,5548.0,2014-02-10 20:34:48
56,56,1,SBINUS39XXX,941307,3680.0,2014-02-10 20:34:48
57,57,1,SBINUS39XXX,467280,4819.0,2014-02-10 20:34:48
58,58,1,SBINUS39XXX,624937,3280.0,2014-02-10 20:34:48
59,59,1,SBINUS39XXX,518480,5920.0,2014-02-10 20:34:48
60,60,1,SBINUS39XXX,936429,2609.0,2014-02-10 20:34:48
61,61,1,SBINUS39XXX,828379,4098.0,2014-02-10 20:34:48
62,62,1,SBINUS39XXX,203790,3942.0,2014-02-10 20:34:48
63,63,1,SBINUS39XXX,165101,4054.0,2014-02-10 20:34:48
64,64,1,SBINUS39XXX,420727,4781.0,2014-02-10 20:34:48
65,65,1,SBINUS39XXX,745558,3279.0,2014-02-10 20:34:48
66,66,1,SBINUS39XXX,781588,4934.0,2014-02-10 20:34:48
67,67,1,SBINUS39XXX,531934,5041.0,2014-02-10 20:34:48
68,68,1,SBINUS39XXX,471852,5161.0,2014-02-10 20:34:48
69,69,1,SBINUS39XXX,413103,4338.0,2014-02-10 20:34:48
70,70,1,SBINUS39XXX,268381,864.0,2014-02-10 20:34:48
71,71,1,SBINUS39XXX,921658,2101.0,2014-02-10 20:34:48
72,72,1,SBINUS39XXX,988304,4646.0,2014-02-10 20:34:48
73,73,1,SBINUS39XXX,587734,5647.0,2014-02-10 20:34:48
74,74,1,SBINUS39XXX,751890,4304.0,2014-02-10 20:34:48
75,75,1,SBINUS39XXX,969725,4697.0,2014-02-10 20:34:48
76,76,1,SBINUS39XXX,708666,2111.0,2014-02-10 20:34:48
77,77,1,SBINUS39XXX,764406,4992.0,2014-02-10 20:34:48
78,78,1,SBINUS39XXX,874008,5167.0,2014-02-10 20:34:48
79,79,1,SBINUS39XXX,475510,2191.0,2014-02-10 20:34:48
80,80,1,SBINUS39XXX,960256,3124.0,2014-02-10 20:34:48
81,81,1,SBINUS39XXX,962257,1787.0,2014-02-10 20:34:48
82,82,1,SBINUS39XXX,940970,2315.0,2014-02-10 20:34:48
83,83,1,SBINUS39XXX,943072,5207.0,2014-02-10 20:34:48
84,84,1,SBINUS39XXX,749337,2270.0,2014-02-10 20:34:48
85,85,1,SBINUS39XXX,486555,5759.0,2014-02-10 20:34:48
86,86,1,SBINUS39XXX,930344,1393.0,2014-02-10 20:34:48
87,87,1,SBINUS39XXX,602125,5230.0,2014-02-10 20:34:48
88,88,1,SBINUS39XXX,752325,2625.0,2014-02-10 20:34:48
89,89,1,SBINUS39XXX,893766,3810.0,2014-02-10 20:34:48
90,90,1,SBINUS39XXX,624005,4627.0,2014-02-10 20:34:48
91,91,1,SBINUS39XXX,275651,4221.0,2014-02-10 20:34:48
92,92,1,SBINUS39XXX,908786,1691.0,2014-02-10 20:34:48
93,93,1,SBINUS39XXX,844747,2223.0,2014-02-10 20:34:48
94,94,1,SBINUS39XXX,627076,3071.0,2014-02-10 20:34:48
95,95,1,SBINUS39XXX,876359,3844.0,2014-02-10 20:34:48
96,96,1,SBINUS39XXX,192134,5931.0,2014-02-10 20:34:48
97,97,1,SBINUS39XXX,666203,3947.0,2014-02-10 20:34:48
98,98,1,SBINUS39XXX,674477,5793.0,2014-02-10 20:34:48
99,99,1,SBINUS39XXX,418939,2691.0,2014-02-10 20:34:48
100,100,1,SBINUS39XXX,932297,1869.0,2014-02-10 20:34:48
101,1,1,SBINUS39XXX,891272,1196.0,2014-03-10 19:24:48
102,2,1,SBINUS39XXX,567538,1705.0,2014-03-10 19:24:48
103,3,1,SBINUS39XXX,500724,908.0,2014-03-10 19:24:48
104,4,1,SBINUS39XXX,914466,4144.0,2014-03-10 19:24:48
105,5,1,SBINUS39XXX,783774,2722.0,2014-03-10 19:24:48
106,6,1,SBINUS39XXX,663702,3511.0,2014-03-10 19:24:48
107,7,1,SBINUS39XXX,636714,3284.0,2014-03-10 19:24:48
108,8,1,SBINUS39XXX,878538,679.0,2014-03-10 19:24:48
109,9,1,SBINUS39XXX,450148,1394.0,2014-03-10 19:24:48
110,10,1,SBINUS39XXX,839923,2765.0,2014-03-10 19:24:48
111,11,1,SBINUS39XXX,891150,4256.0,2014-03-10 19:24:48
112,12,1,SBINUS39XXX,620127,3577.0,2014-03-10 19:24:48
113,13,1,SBINUS39XXX,212335,3032.0,2014-03-10 19:24:48
114,14,1,SBINUS39XXX,893318,1798.0,2014-03-10 19:24:48
115,15,1,SBINUS39XXX,524070,3929.0,2014-03-10 19:24:48
116,16,1,SBINUS39XXX,763673,1615.0,2014-03-10 19:24:48
117,17,1,SBINUS39XXX,115528,2657.0,2014-03-10 19:24:48
118,18,1,SBINUS39XXX,220113,3221.0,2014-03-10 19:24:48
119,19,1,SBINUS39XXX,478877,1312.0,2014-03-10 19:24:48
120,20,1,SBINUS39XXX,554762,5515.0,2014-03-10 19:24:48
121,21,1,SBINUS39XXX,871572,2750.0,2014-03-10 19:24:48
122,22,1,SBINUS39XXX,672289,4363.0,2014-03-10 19:24:48
123,23,1,SBINUS39XXX,768282,3965.0,2014-03-10 19:24:48
124,24,1,SBINUS39XXX,393938,1841.0,2014-03-10 19:24:48
125,25,1,SBINUS39XXX,345727,2449.0,2014-03-10 19:24:48
126,26,1,SBINUS39XXX,954873,4538.0,2014-03-10 19:24:48
127,27,1,SBINUS39XXX,932991,5482.0,2014-03-10 19:24:48
128,28,1,SBINUS39XXX,184756,3085.0,2014-03-10 19:24:48
129,29,1,SBINUS39XXX,967879,1467.0,2014-03-10 19:24:48
130,30,1,SBINUS39XXX,393851,2964.0,2014-03-10 19:24:48
131,31,1,SBINUS39XXX,470262,4452.0,2014-03-10 19:24:48
132,32,1,SBINUS39XXX,305156,5121.0,2014-03-10 19:24:48
133,33,1,SBINUS39XXX,589197,2128.0,2014-03-10 19:24:48
134,34,1,SBINUS39XXX,371491,5925.0,2014-03-10 19:24:48
135,35,1,SBINUS39XXX,923660,1422.0,2014-03-10 19:24:48
136,36,1,SBINUS39XXX,125917,4921.0,2014-03-10 19:24:48
137,37,1,SBINUS39XXX,308183,1640.0,2014-03-10 19:24:48
138,38,1,SBINUS39XXX,918862,5093.0,2014-03-10 19:24:48
139,39,1,SBINUS39XXX,880727,2939.0,2014-03-10 19:24:48
140,40,1,SBINUS39XXX,712159,5550.0,2014-03-10 19:24:48
141,41,1,SBINUS39XXX,918519,1530.0,2014-03-10 19:24:48
142,42,1,SBINUS39XXX,150467,1524.0,2014-03-10 19:24:48
143,43,1,SBINUS39XXX,936179,1423.0,2014-03-10 19:24:48
144,44,1,SBINUS39XXX,699610,3329.0,2014-03-10 19:24:48
145,45,1,SBINUS39XXX,236879,4491.0,2014-03-10 19:24:48
146,46,1,SBINUS39XXX,237738,3942.0,2014-03-10 19:24:48
147,47,1,SBINUS39XXX,518505,5914.0,2014-03-10 19:24:48
148,48,1,SBINUS39XXX,166202,3880.0,2014-03-10 19:24:48
149,49,1,SBINUS39XXX,697202,737.0,2014-03-10 19:24:48
150,50,1,SBINUS39XXX,873515,1839.0,2014-03-10 19:24:48
151,51,1,SBINUS39XXX,491731,5063.0,2014-03-10 19:24:48
152,52,1,SBINUS39XXX,306189,1655.0,2014-03-10 19:24:48
153,53,1,SBINUS39XXX,943992,5435.0,2014-03-10 19:24:48
154,54,1,SBINUS39XXX,163625,2573.0,2014-03-10 19:24:48
155,55,1,SBINUS39XXX,826972,5548.0,2014-03-10 19:24:48
156,56,1,SBINUS39XXX,941307,3680.0,2014-03-10 19:24:48
157,57,1,SBINUS39XXX,467280,4819.0,2014-03-10 19:24:48
158,58,1,SBINUS39XXX,624937,3280.0,2014-03-10 19:24:48
159,59,1,SBINUS39XXX,518480,5920.0,2014-03-10 19:24:48
160,60,1,SBINUS39XXX,936429,2609.0,2014-03-10 19:24:48
161,61,1,SBINUS39XXX,828379,4098.0,2014-03-10 19:24:48
162,62,1,SBINUS39XXX,203790,3942.0,2014-03-10 19:24:48
163,63,1,SBINUS39XXX,165101,4054.0,2014-03-10 19:24:48
164,64,1,SBINUS39XXX,420727,4781.0,2014-03-10 19:24:48
165,65,1,SBINUS39XXX,745558,3279.0,2014-03-10 19:24:48
166,66,1,SBINUS39XXX,781588,4934.0,2014-03-10 19:24:48
167,67,1,SBINUS39XXX,531934,5041.0,2014-03-10 19:24:48
168,68,1,SBINUS39XXX,471852,5161.0,2014-03-10 19:24:48
169,69,1,SBINUS39XXX,413103,4338.0,2014-03-10 19:24:48
170,70,1,SBINUS39XXX,268381,864.0,2014-03-10 19:24:48
171,71,1,SBINUS39XXX,921658,2101.0,2014-03-10 19:24:48
172,72,1,SBINUS39XXX,988304,4646.0,2014-03-10 19:24:48
173,73,1,SBINUS39XXX,587734,5647.0,2014-03-10 19:24:48
174,74,1,SBINUS39XXX,751890,4304.0,2014-03-10 19:24:48
175,75,1,SBINUS39XXX,969725,4697.0,2014-03-10 19:24:48
176,76,1,SBINUS39XXX,708666,2111.0,2014-03-10 19:24:48
177,77,1,SBINUS39XXX,764406,4992.0,2014-03-10 19:24:48
178,78,1,SBINUS39XXX,874008,5167.0,2014-03-10 19:24:48
179,79,1,SBINUS39XXX,475510,2191.0,2014-03-10 19:24:48
180,80,1,SBINUS39XXX,960256,3124.0,2014-03-10 19:24:48
181,81,1,SBINUS39XXX,962257,1787.0,2014-03-10 19:24:48
182,82,1,SBINUS39XXX,940970,2315.0,2014-03-10 19:24:48
183,83,1,SBINUS39XXX,943072,5207.0,2014-03-10 19:24:48
184,84,1,SBINUS39XXX,749337,2270.0,2014-03-10 19:24:48
185,85,1,SBINUS39XXX,486555,5759.0,2014-03-10 19:24:48
186,86,1,SBINUS39XXX,930344,1393.0,2014-03-10 19:24:48
187,87,1,SBINUS39XXX,602125,5230.0,2014-03-10 19:24:48
188,88,1,SBINUS39XXX,752325,2625.0,2014-03-10 19:24:48
189,89,1,SBINUS39XXX,893766,3810.0,2014-03-10 19:24:48
190,90,1,SBINUS39XXX,624005,4627.0,2014-03-10 19:24:48
191,91,1,SBINUS39XXX,275651,2110.5,2014-03-10 19:24:48
192,92,1,SBINUS39XXX,908786,1691.0,2014-03-10 19:24:48
193,93,1,SBINUS39XXX,844747,2223.0,2014-03-10 19:24:48
194,94,1,SBINUS39XXX,627076,3071.0,2014-03-10 19:24:48
195,95,1,SBINUS39XXX,876359,3844.0,2014-03-10 19:24:48
196,96,1,SBINUS39XXX,192134,5931.0,2014-03-10 19:24:48
197,97,1,SBINUS39XXX,666203,3947.0,2014-03-10 19:24:48
198,98,1,SBINUS39XXX,674477,5793.0,2014-03-10 19:24:48
199,99,1,SBINUS39XXX,418939,2691.0,2014-03-10 19:24:48
200,100,1,SBINUS39XXX,932297,1869.0,2014-03-10 19:24:48
201,1,1,SBINUS39XXX,891272,1196.0,2014-04-10 18:54:48
202,2,1,SBINUS39XXX,567538,1705.0,2014-04-10 18:54:48
203,3,1,SBINUS39XXX,500724,908.0,2014-04-10 18:54:48
204,4,1,SBINUS39XXX,914466,4144.0,2014-04-10 18:54:48
205,5,1,SBINUS39XXX,783774,2722.0,2014-04-10 18:54:48
206,6,1,SBINUS39XXX,663702,3511.0,2014-04-10 18:54:48
207,7,1,SBINUS39XXX,636714,3284.0,2014-04-10 18:54:48
208,8,1,SBINUS39XXX,878538,679.0,2014-04-10 18:54:48
209,9,1,SBINUS39XXX,450148,1394.0,2014-04-10 18:54:48
210,10,1,SBINUS39XXX,839923,2765.0,2014-04-10 18:54:48
211,11,1,SBINUS39XXX,891150,4256.0,2014-04-10 18:54:48
212,12,1,SBINUS39XXX,620127,3577.0,2014-04-10 18:54:48
213,13,1,SBINUS39XXX,212335,3032.0,2014-04-10 18:54:48
214,14,1,SBINUS39XXX,893318,1798.0,2014-04-10 18:54:48
215,15,1,SBINUS39XXX,524070,3929.0,2014-04-10 18:54:48
216,16,1,SBINUS39XXX,763673,1615.0,2014-04-10 18:54:48
217,17,1,SBINUS39XXX,115528,2657.0,2014-04-10 18:54:48
218,18,1,SBINUS39XXX,220113,3221.0,2014-04-10 18:54:48
219,19,1,SBINUS39XXX,478877,1312.0,2014-04-10 18:54:48
220,20,1,SBINUS39XXX,554762,5515.0,2014-04-10 18:54:48
221,21,1,SBINUS39XXX,871572,2750.0,2014-04-10 18:54:48
222,22,1,SBINUS39XXX,672289,4363.0,2014-04-10 18:54:48
223,23,1,SBINUS39XXX,768282,3965.0,2014-04-10 18:54:48
224,24,1,SBINUS39XXX,393938,1841.0,2014-04-10 18:54:48
225,25,1,SBINUS39XXX,345727,2449.0,2014-04-10 18:54:48
226,26,1,SBINUS39XXX,954873,4538.0,2014-04-10 18:54:48
227,27,1,SBINUS39XXX,932991,5482.0,2014-04-10 18:54:48
228,28,1,SBINUS39XXX,184756,3085.0,2014-04-10 18:54:48
229,29,1,SBINUS39XXX,967879,1467.0,2014-04-10 18:54:48
230,30,1,SBINUS39XXX,393851,2964.0,2014-04-10 18:54:48
231,31,1,SBINUS39XXX,470262,4452.0,2014-04-10 18:54:48
232,32,1,SBINUS39XXX,305156,5121.0,2014-04-10 18:54:48
233,33,1,SBINUS39XXX,589197,2128.0,2014-04-10 18:54:48
234,34,1,SBINUS39XXX,371491,5925.0,2014-04-10 18:54:48
235,35,1,SBINUS39XXX,923660,1422.0,2014-04-10 18:54:48
236,36,1,SBINUS39XXX,125917,4921.0,2014-04-10 18:54:48
237,37,1,SBINUS39XXX,308183,1640.0,2014-04-10 18:54:48
238,38,1,SBINUS39XXX,918862,5093.0,2014-04-10 18:54:48
239,39,1,SBINUS39XXX,880727,2939.0,2014-04-10 18:54:48
240,40,1,SBINUS39XXX,712159,5550.0,2014-04-10 18:54:48
241,41,1,SBINUS39XXX,918519,1530.0,2014-04-10 18:54:48
242,42,1,SBINUS39XXX,150467,1524.0,2014-04-10 18:54:48
243,43,1,SBINUS39XXX,936179,1423.0,2014-04-10 18:54:48
244,44,1,SBINUS39XXX,699610,3329.0,2014-04-10 18:54:48
245,45,1,SBINUS39XXX,236879,4491.0,2014-04-10 18:54:48
246,46,1,SBINUS39XXX,237738,3942.0,2014-04-10 18:54:48
247,47,1,SBINUS39XXX,518505,5914.0,2014-04-10 18:54:48
248,48,1,SBINUS39XXX,166202,3880.0,2014-04-10 18:54:48
249,49,1,SBINUS39XXX,697202,737.0,2014-04-10 18:54:48
250,50,1,SBINUS39XXX,873515,1839.0,2014-04-10 18:54:48
251,51,1,SBINUS39XXX,491731,5063.0,2014-04-10 18:54:48
252,52,1,SBINUS39XXX,306189,1655.0,2014-04-10 18:54:48
253,53,1,SBINUS39XXX,943992,5435.0,2014-04-10 18:54:48
254,54,1,SBINUS39XXX,163625,2573.0,2014-04-10 18:54:48
255,55,1,SBINUS39XXX,826972,5548.0,2014-04-10 18:54:48
256,56,1,SBINUS39XXX,941307,3680.0,2014-04-10 18:54:48
257,57,1,SBINUS39XXX,467280,4819.0,2014-04-10 18:54:48
258,58,1,SBINUS39XXX,624937,3280.0,2014-04-10 18:54:48
259,59,1,SBINUS39XXX,518480,5920.0,2014-04-10 18:54:48
260,60,1,SBINUS39XXX,936429,2609.0,2014-04-10 18:54:48
261,61,1,SBINUS39XXX,828379,4098.0,2014-04-10 18:54:48
262,62,1,SBINUS39XXX,203790,3942.0,2014-04-10 18:54:48
263,63,1,SBINUS39XXX,165101,4054.0,2014-04-10 18:54:48
264,64,1,SBINUS39XXX,420727,4781.0,2014-04-10 18:54:48
265,65,1,SBINUS39XXX,745558,3279.0,2014-04-10 18:54:48
266,66,1,SBINUS39XXX,781588,4934.0,2014-04-10 18:54:48
267,67,1,SBINUS39XXX,531934,5041.0,2014-04-10 18:54:48
268,68,1,SBINUS39XXX,471852,5161.0,2014-04-10 18:54:48
269,69,1,SBINUS39XXX,413103,4338.0,2014-04-10 18:54:48
270,70,1,SBINUS39XXX,268381,864.0,2014-04-10 18:54:48
271,71,1,SBINUS39XXX,921658,2101.0,2014-04-10 18:54:48
272,72,1,SBINUS39XXX,988304,4646.0,2014-04-10 18:54:48
273,73,1,SBINUS39XXX,587734,5647.0,2014-04-10 18:54:48
274,74,1,SBINUS39XXX,751890,4304.0,2014-04-10 18:54:48
275,75,1,SBINUS39XXX,969725,4697.0,2014-04-10 18:54:48
276,76,1,SBINUS39XXX,708666,2111.0,2014-04-10 18:54:48
277,77,1,SBINUS39XXX,764406,4992.0,2014-04-10 18:54:48
278,78,1,SBINUS39XXX,874008,5167.0,2014-04-10 18:54:48
279,79,1,SBINUS39XXX,475510,2191.0,2014-04-10 18:54:48
280,80,1,SBINUS39XXX,960256,3124.0,2014-04-10 18:54:48
281,81,1,SBINUS39XXX,962257,1787.0,2014-04-10 18:54:48
282,82,1,SBINUS39XXX,940970,7.00228241613,2014-04-10 18:54:48
283,83,1,SBINUS39XXX,943072,5207.0,2014-04-10 18:54:48
284,84,1,SBINUS39XXX,749337,2270.0,2014-04-10 18:54:48
285,85,1,SBINUS39XXX,486555,5759.0,2014-04-10 18:54:48
286,86,1,SBINUS39XXX,930344,1393.0,2014-04-10 18:54:48
287,87,1,SBINUS39XXX,602125,5230.0,2014-04-10 18:54:48
288,88,1,SBINUS39XXX,752325,2625.0,2014-04-10 18:54:48
289,89,1,SBINUS39XXX,893766,3810.0,2014-04-10 18:54:48
290,90,1,SBINUS39XXX,624005,4627.0,2014-04-10 18:54:48
291,91,1,SBINUS39XXX,275651,4221.0,2014-04-10 18:54:48
292,92,1,SBINUS39XXX,908786,1691.0,2014-04-10 18:54:48
293,93,1,SBINUS39XXX,844747,2223.0,2014-04-10 18:54:48
294,94,1,SBINUS39XXX,627076,3071.0,2014-04-10 18:54:48
295,95,1,SBINUS39XXX,876359,3844.0,2014-04-10 18:54:48
296,96,1,SBINUS39XXX,192134,5931.0,2014-04-10 18:54:48
297,97,1,SBINUS39XXX,666203,3947.0,2014-04-10 18:54:48
298,98,1,SBINUS39XXX,674477,5793.0,2014-04-10 18:54:48
299,99,1,SBINUS39XXX,418939,2691.0,2014-04-10 18:54:48
300,100,1,SBINUS39XXX,932297,1869.0,2014-04-10 18:54:48
301,1,1,SBINUS39XXX,891272,1196.0,2014-05-10 19:24:48
302,2,1,SBINUS39XXX,567538,1705.0,2014-05-10 19:24:48
303,3,1,SBINUS39XXX,500724,908.0,2014-05-10 19:24:48
304,4,1,SBINUS39XXX,914466,4144.0,2014-05-10 19:24:48
305,5,1,SBINUS39XXX,783774,2722.0,2014-05-10 19:24:48
306,6,1,SBINUS39XXX,663702,3511.0,2014-05-10 19:24:48
307,7,1,SBINUS39XXX,636714,3284.0,2014-05-10 19:24:48
308,8,1,SBINUS39XXX,878538,679.0,2014-05-10 19:24:48
309,9,1,SBINUS39XXX,450148,1394.0,2014-05-10 19:24:48
310,10,1,SBINUS39XXX,839923,2765.0,2014-05-10 19:24:48
311,11,1,SBINUS39XXX,891150,4256.0,2014-05-10 19:24:48
312,12,1,SBINUS39XXX,620127,3577.0,2014-05-10 19:24:48
313,13,1,SBINUS39XXX,212335,3032.0,2014-05-10 19:24:48
314,14,1,SBINUS39XXX,893318,1798.0,2014-05-10 19:24:48
315,15,1,SBINUS39XXX,524070,3929.0,2014-05-10 19:24:48
316,16,1,SBINUS39XXX,763673,1615.0,2014-05-10 19:24:48
317,17,1,SBINUS39XXX,115528,2657.0,2014-05-10 19:24:48
318,18,1,SBINUS39XXX,220113,3221.0,2014-05-10 19:24:48
319,19,1,SBINUS39XXX,478877,1312.0,2014-05-10 19:24:48
320,20,1,SBINUS39XXX,554762,5515.0,2014-05-10 19:24:48
321,21,1,SBINUS39XXX,871572,2750.0,2014-05-10 19:24:48
322,22,1,SBINUS39XXX,672289,4363.0,2014-05-10 19:24:48
323,23,1,SBINUS39XXX,768282,3965.0,2014-05-10 19:24:48
324,24,1,SBINUS39XXX,393938,1841.0,2014-05-10 19:24:48
325,25,1,SBINUS39XXX,345727,2449.0,2014-05-10 19:24:48
326,26,1,SBINUS39XXX,954873,4538.0,2014-05-10 19:24:48
327,27,1,SBINUS39XXX,932991,5482.0,2014-05-10 19:24:48
328,28,1,SBINUS39XXX,184756,3085.0,2014-05-10 19:24:48
329,29,1,SBINUS39XXX,967879,1467.0,2014-05-10 19:24:48
330,30,1,SBINUS39XXX,393851,2964.0,2014-05-10 19:24:48
331,31,1,SBINUS39XXX,470262,4452.0,2014-05-10 19:24:48
332,32,1,SBINUS39XXX,305156,5121.0,2014-05-10 19:24:48
333,33,1,SBINUS39XXX,589197,2128.0,2014-05-10 19:24:48
334,34,1,SBINUS39XXX,371491,5925.0,2014-05-10 19:24:48
335,35,1,SBINUS39XXX,923660,1422.0,2014-05-10 19:24:48
336,36,1,SBINUS39XXX,125917,4921.0,2014-05-10 19:24:48
337,37,1,SBINUS39XXX,308183,1640.0,2014-05-10 19:24:48
338,38,1,SBINUS39XXX,918862,5093.0,2014-05-10 19:24:48
339,39,1,SBINUS39XXX,880727,2939.0,2014-05-10 19:24:48
340,40,1,SBINUS39XXX,712159,5550.0,2014-05-10 19:24:48
341,41,1,SBINUS39XXX,918519,1530.0,2014-05-10 19:24:48
342,42,1,SBINUS39XXX,150467,1524.0,2014-05-10 19:24:48
343,43,1,SBINUS39XXX,936179,1423.0,2014-05-10 19:24:48
344,44,1,SBINUS39XXX,699610,3329.0,2014-05-10 19:24:48
345,45,1,SBINUS39XXX,236879,4491.0,2014-05-10 19:24:48
346,46,1,SBINUS39XXX,237738,3942.0,2014-05-10 19:24:48
347,47,1,SBINUS39XXX,518505,5914.0,2014-05-10 19:24:48
348,48,1,SBINUS39XXX,166202,3880.0,2014-05-10 19:24:48
349,49,1,SBINUS39XXX,697202,737.0,2014-05-10 19:24:48
350,50,1,SBINUS39XXX,873515,1839.0,2014-05-10 19:24:48
351,51,1,SBINUS39XXX,491731,5063.0,2014-05-10 19:24:48
352,52,1,SBINUS39XXX,306189,1655.0,2014-05-10 19:24:48
353,53,1,SBINUS39XXX,943992,5435.0,2014-05-10 19:24:48
354,54,1,SBINUS39XXX,163625,2573.0,2014-05-10 19:24:48
355,55,1,SBINUS39XXX,826972,5548.0,2014-05-10 19:24:48
356,56,1,SBINUS39XXX,941307,3680.0,2014-05-10 19:24:48
357,57,1,SBINUS39XXX,467280,4819.0,2014-05-10 19:24:48
358,58,1,SBINUS39XXX,624937,3280.0,2014-05-10 19:24:48
359,59,1,SBINUS39XXX,518480,5920.0,2014-05-10 19:24:48
360,60,1,SBINUS39XXX,936429,2609.0,2014-05-10 19:24:48
361,61,1,SBINUS39XXX,828379,4098.0,2014-05-10 19:24:48
362,62,1,SBINUS39XXX,203790,3942.0,2014-05-10 19:24:48
363,63,1,SBINUS39XXX,165101,4054.0,2014-05-10 19:24:48
364,64,1,SBINUS39XXX,420727,4781.0,2014-05-10 19:24:48
365,65,1,SBINUS39XXX,745558,3279.0,2014-05-10 19:24:48
366,66,1,SBINUS39XXX,781588,4934.0,2014-05-10 19:24:48
367,67,1,SBINUS39XXX,531934,5041.0,2014-05-10 19:24:48
368,68,1,SBINUS39XXX,471852,5161.0,2014-05-10 19:24:48
369,69,1,SBINUS39XXX,413103,4338.0,2014-05-10 19:24:48
370,70,1,SBINUS39XXX,268381,864.0,2014-05-10 19:24:48
371,71,1,SBINUS39XXX,921658,2101.0,2014-05-10 19:24:48
372,72,1,SBINUS39XXX,988304,4646.0,2014-05-10 19:24:48
373,73,1,SBINUS39XXX,587734,5647.0,2014-05-10 19:24:48
374,74,1,SBINUS39XXX,751890,4304.0,2014-05-10 19:24:48
375,75,1,SBINUS39XXX,969725,4697.0,2014-05-10 19:24:48
376,76,1,SBINUS39XXX,708666,2111.0,2014-05-10 19:24:48
