CUSTOMERID,CREDITCARDNO,INSURANCETYPE,PAYFREQUENCY,AMOUNT
355,2147483647,Term,Quarterly,300
356,2147483647,Term,Quarterly,300
357,2147483647,General,Monthly,175
358,2147483647,Health,Quarterly,300
359,2147483647,General,Annual,1250
360,2147483647,General,Monthly,175
361,2147483647,Vehicle,Bi-Annual,600
362,2147483647,Vehicle,Monthly,175
363,2147483647,General,Monthly,175
364,2147483647,Term,Bi-Annual,625
365,2147483647,Health,Quarterly,300
366,2147483647,Term,Quarterly,300
367,2147483647,General,Monthly,175
368,2147483647,Term,Bi-Annual,625
369,2147483647,Vehicle,Bi-Annual,600
370,2147483647,Health,Annual,1250
371,2147483647,General,Annual,1250
372,2147483647,General,Annual,1500
373,2147483647,Health,Quarterly,310
374,2147483647,General,Annual,1250
375,2147483647,Term,Quarterly,300
376,2147483647,Vehicle,Monthly,145
377,2147483647,Health,Monthly,175
378,2147483647,General,Annual,1500
379,2147483647,Vehicle,Monthly,175
380,2147483647,Term,Bi-Annual,625
381,2147483647,General,Annual,1250
382,2147483647,Health,Quarterly,300
383,2147483647,General,Monthly,145
384,2147483647,Term,Quarterly,300
385,2147483647,Health,Monthly,175
386,2147483647,Health,Monthly,175
387,2147483647,General,Monthly,175
388,2147483647,General,Monthly,175
389,2147483647,Health,Annual,1500
390,2147483647,General,Monthly,175
391,2147483647,General,Annual,1250
392,2147483647,Vehicle,Bi-Annual,625
393,2147483647,Health,Quarterly,300
394,2147483647,Vehicle,Monthly,175
395,2147483647,Term,Quarterly,300
396,2147483647,Health,Annual,900
397,2147483647,General,Monthly,175
398,2147483647,Vehicle,Bi-Annual,625
399,2147483647,Vehicle,Monthly,145
400,2147483647,Term,Quarterly,300
401,2147483647,Term,Quarterly,310
402,2147483647,Health,Monthly,175
403,2147483647,Vehicle,Monthly,145
404,2147483647,General,Annual,1500
405,2147483647,Term,Quarterly,310
406,2147483647,Vehicle,Bi-Annual,600
407,2147483647,Vehicle,Bi-Annual,600
408,2147483647,General,Annual,900
409,2147483647,General,Annual,1500
410,2147483647,Term,Quarterly,300
411,2147483647,Vehicle,Monthly,175
412,2147483647,Vehicle,Monthly,145
413,2147483647,Health,Monthly,175
414,2147483647,Vehicle,Monthly,145
415,2147483647,Health,Quarterly,310
416,2147483647,Health,Quarterly,300
417,2147483647,General,Monthly,145
418,2147483647,Health,Quarterly,300
419,2147483647,Term,Bi-Annual,625
420,2147483647,Term,Bi-Annual,600
421,2147483647,Vehicle,Bi-Annual,625
422,2147483647,Vehicle,Bi-Annual,600
423,2147483647,Health,Quarterly,310
424,2147483647,Term,Quarterly,310
425,2147483647,Term,Bi-Annual,600
426,2147483647,Health,Monthly,175
427,2147483647,Health,Annual,1500
428,2147483647,Health,Annual,1500
429,2147483647,Vehicle,Bi-Annual,600
430,2147483647,Vehicle,Monthly,145
431,2147483647,General,Monthly,145
432,2147483647,Term,Quarterly,300
433,2147483647,General,Annual,900
434,2147483647,Health,Annual,1500
435,2147483647,Health,Monthly,145
436,2147483647,Health,Quarterly,310
437,2147483647,Term,Quarterly,300
438,2147483647,General,Annual,900
439,2147483647,Vehicle,Monthly,175
440,2147483647,Vehicle,Bi-Annual,600
441,2147483647,General,Annual,900
442,2147483647,Term,Quarterly,310
443,2147483647,General,Annual,1500
444,2147483647,Term,Bi-Annual,625
445,2147483647,Health,Annual,1500
446,2147483647,Health,Annual,1500
447,2147483647,Term,Quarterly,300
448,2147483647,Term,Quarterly,300
449,2147483647,General,Annual,900
450,2147483647,General,Annual,1500
451,2147483647,General,Annual,1500
452,2147483647,Term,Bi-Annual,600
453,2147483647,Term,Quarterly,300
454,2147483647,Vehicle,Monthly,175
455,2147483647,Health,Annual,900
456,2147483647,Health,Quarterly,300
457,2147483647,Term,Quarterly,300
458,2147483647,Term,Quarterly,300
459,2147483647,Vehicle,Bi-Annual,600
460,2147483647,Term,Quarterly,300
461,2147483647,General,Annual,900
462,2147483647,Health,Monthly,175
463,2147483647,General,Annual,1500
464,2147483647,Health,Monthly,145
465,2147483647,Health,Annual,1500
466,2147483647,Vehicle,Monthly,145
467,2147483647,Health,Monthly,175
468,2147483647,Health,Annual,1500
469,2147483647,General,Annual,1500
470,2147483647,General,Annual,1500
471,2147483647,Health,Quarterly,300
472,2147483647,Term,Quarterly,300
473,2147483647,Health,Annual,1500
474,2147483647,Health,Quarterly,300
475,2147483647,Vehicle,Bi-Annual,600
476,2147483647,Term,Quarterly,300
477,2147483647,Vehicle,Bi-Annual,600
478,2147483647,Vehicle,Monthly,175
479,2147483647,Vehicle,Bi-Annual,625
480,2147483647,Term,Quarterly,300
481,2147483647,Health,Quarterly,300
482,2147483647,Health,Monthly,175
483,2147483647,Health,Annual,1500
484,2147483647,Term,Quarterly,300
485,2147483647,Health,Monthly,175
486,2147483647,General,Monthly,175
487,2147483647,Term,Bi-Annual,600
488,2147483647,Health,Quarterly,310
489,2147483647,Vehicle,Monthly,175
490,2147483647,Health,Annual,1500
491,2147483647,General,Monthly,175
492,2147483647,Term,Quarterly,300
493,2147483647,General,Monthly,145
494,2147483647,Term,Bi-Annual,625
495,2147483647,Term,Bi-Annual,625
496,2147483647,General,Annual,900
497,2147483647,Term,Bi-Annual,600
498,2147483647,Term,Quarterly,340
499,2147483647,General,Annual,900
500,2147483647,Health,Monthly,145
501,2147483647,General,Monthly,145
502,2147483647,Term,Quarterly,340
503,2147483647,Vehicle,Monthly,145
504,2147483647,Vehicle,Bi-Annual,600
505,2147483647,Health,Monthly,145
506,2147483647,Vehicle,Monthly,145
507,2147483647,General,Annual,1500
508,2147483647,General,Annual,900
509,2147483647,Term,Bi-Annual,600
510,2147483647,Vehicle,Monthly,175
511,2147483647,General,Monthly,175
512,2147483647,Vehicle,Bi-Annual,600
513,2147483647,Health,Monthly,175
514,2147483647,Term,Quarterly,340
515,2147483647,Vehicle,Bi-Annual,600
516,2147483647,Health,Quarterly,300
517,2147483647,Vehicle,Bi-Annual,625
518,2147483647,General,Monthly,145
519,2147483647,Term,Bi-Annual,625
520,2147483647,Term,Quarterly,300
521,2147483647,Term,Quarterly,340
522,2147483647,Health,Quarterly,340
523,2147483647,Term,Quarterly,300
524,2147483647,General,Annual,1500
525,2147483647,Vehicle,Bi-Annual,625
526,2147483647,General,Annual,1100
527,2147483647,Health,Annual,1500
528,2147483647,Term,Quarterly,300
529,2147483647,General,Annual,1100
530,2147483647,General,Annual,1100
531,2147483647,Health,Quarterly,300
532,2147483647,General,Annual,1500
533,2147483647,Term,Bi-Annual,600
534,2147483647,Vehicle,Bi-Annual,600
535,2147483647,Term,Quarterly,300
536,2147483647,Health,Monthly,175
537,2147483647,Health,Monthly,190
538,2147483647,Health,Quarterly,340
539,2147483647,Vehicle,Bi-Annual,625
540,2147483647,Vehicle,Monthly,145
541,2147483647,Vehicle,Monthly,145
542,2147483647,General,Monthly,190
543,2147483647,General,Annual,1500
544,2147483647,General,Monthly,145
545,2147483647,Health,Quarterly,340
546,2147483647,Term,Quarterly,300
547,2147483647,Vehicle,Monthly,190
548,2147483647,Vehicle,Monthly,190
549,2147483647,Health,Quarterly,340
550,2147483647,Term,Quarterly,300
551,2147483647,Health,Quarterly,340
552,2147483647,Health,Monthly,145
553,2147483647,Vehicle,Monthly,190
554,2147483647,General,Annual,1500
555,2147483647,Vehicle,Bi-Annual,625
556,2147483647,Health,Monthly,190
557,2147483647,Vehicle,Monthly,145
558,2147483647,Health,Annual,1500
559,2147483647,General,Annual,1500
560,2147483647,Vehicle,Bi-Annual,600
561,2147483647,Term,Quarterly,300
562,2147483647,Health,Quarterly,300
563,2147483647,Term,Quarterly,300
564,2147483647,Term,Quarterly,340
565,2147483647,Vehicle,Monthly,145
566,2147483647,Health,Annual,1500
567,2147483647,Health,Monthly,145
568,2147483647,Vehicle,Monthly,145
569,2147483647,Term,Quarterly,300
570,2147483647,Term,Quarterly,340
571,2147483647,Health,Monthly,145
572,2147483647,General,Monthly,145
573,2147483647,General,Monthly,190
574,2147483647,General,Monthly,145
575,2147483647,Health,Annual,1100
576,2147483647,Health,Annual,1100
577,2147483647,Term,Quarterly,300
578,2147483647,Vehicle,Monthly,190
579,2147483647,Term,Bi-Annual,625
580,2147483647,Vehicle,Monthly,145
581,2147483647,Term,Quarterly,300
582,2147483647,Vehicle,Monthly,190
583,2147483647,Term,Bi-Annual,600
584,2147483647,Vehicle,Bi-Annual,625
585,2147483647,General,Annual,1500
586,2147483647,Health,Quarterly,300
587,2147483647,Term,Bi-Annual,600
588,2147483647,Vehicle,Monthly,190
589,2147483647,Vehicle,Bi-Annual,600
590,2147483647,General,Annual,1500
591,2147483647,Term,Quarterly,300
592,2147483647,Vehicle,Bi-Annual,625
593,2147483647,Term,Bi-Annual,600
594,2147483647,Term,Quarterly,300
595,2147483647,Health,Annual,1500
596,2147483647,Term,Bi-Annual,600
597,2147483647,General,Annual,1100
598,2147483647,Term,Quarterly,300
599,2147483647,General,Annual,1100
600,2147483647,Health,Annual,1500
601,2147483647,Term,Quarterly,300
602,2147483647,Vehicle,Bi-Annual,600
603,2147483647,Term,Quarterly,340
604,2147483647,Health,Annual,1100
605,2147483647,Term,Quarterly,300
606,2147483647,Term,Quarterly,340
607,2147483647,Term,Quarterly,300
608,2147483647,Health,Annual,1100
609,2147483647,Term,Quarterly,300
610,2147483647,Health,Monthly,190
611,2147483647,Health,Annual,1500
612,2147483647,Health,Monthly,145
613,2147483647,Term,Bi-Annual,675
614,2147483647,Term,Quarterly,300
615,2147483647,Health,Monthly,145
616,2147483647,Health,Annual,1500
617,2147483647,General,Monthly,190
618,2147483647,Health,Quarterly,300
619,2147483647,Term,Quarterly,300
620,2147483647,Health,Quarterly,300
621,2147483647,General,Monthly,190
622,2147483647,Vehicle,Bi-Annual,600
623,2147483647,Vehicle,Bi-Annual,675
624,2147483647,General,Annual,1500
625,2147483647,Term,Quarterly,300
626,2147483647,General,Annual,1500
627,2147483647,Health,Quarterly,300
628,2147483647,General,Annual,1100
629,2147483647,Health,Annual,1500
630,2147483647,Term,Bi-Annual,675
631,2147483647,Term,Quarterly,300
632,2147483647,Health,Quarterly,300
633,2147483647,Health,Monthly,190
634,2147483647,Health,Monthly,190
635,2147483647,General,Monthly,145
636,2147483647,General,Annual,1100
637,2147483647,Vehicle,Monthly,145
638,2147483647,Term,Quarterly,300
639,2147483647,Term,Bi-Annual,675
640,2147483647,General,Annual,1500
641,2147483647,Health,Annual,1100
642,2147483647,Term,Quarterly,300
643,2147483647,Health,Monthly,190
644,2147483647,Health,Quarterly,340
645,2147483647,General,Monthly,190
646,2147483647,Health,Monthly,190
647,2147483647,Health,Quarterly,340
648,2147483647,General,Annual,1500
649,2147483647,Vehicle,Monthly,145
650,2147483647,Health,Annual,1500
651,2147483647,Term,Quarterly,300
652,2147483647,Health,Quarterly,340
653,2147483647,Health,Monthly,200
654,2147483647,Term,Quarterly,300
655,2147483647,General,Annual,1500
656,2147483647,Vehicle,Bi-Annual,600
657,2147483647,Vehicle,Bi-Annual,600
658,2147483647,Health,Annual,1500
659,2147483647,Health,Annual,1500
660,2147483647,Vehicle,Monthly,200
661,2147483647,Vehicle,Monthly,200
662,2147483647,Health,Monthly,145
663,2147483647,Vehicle,Bi-Annual,600
664,2147483647,General,Annual,1500
665,2147483647,General,Monthly,200
666,2147483647,Health,Annual,1100
667,2147483647,Term,Quarterly,340
668,2147483647,Vehicle,Bi-Annual,600
669,2147483647,General,Annual,1100
670,2147483647,Health,Quarterly,300
671,2147483647,Term,Bi-Annual,600
672,2147483647,Term,Quarterly,300
673,2147483647,Health,Annual,1500
674,2147483647,Term,Bi-Annual,600
675,2147483647,General,Annual,1500
676,2147483647,General,Annual,1500
677,2147483647,Term,Quarterly,340
678,2147483647,Health,Annual,1500
679,2147483647,Vehicle,Bi-Annual,600
680,2147483647,Term,Bi-Annual,675
681,2147483647,General,Annual,1500
682,2147483647,Term,Bi-Annual,675
683,2147483647,Health,Monthly,200
684,2147483647,General,Monthly,200
685,2147483647,Health,Annual,1500
686,2147483647,Term,Quarterly,340
687,2147483647,General,Monthly,200
688,2147483647,Health,Monthly,200
689,2147483647,General,Annual,1500
690,2147483647,Vehicle,Bi-Annual,600
691,2147483647,Health,Monthly,200
692,2147483647,Term,Quarterly,300
693,2147483647,General,Monthly,200
694,2147483647,Health,Monthly,200
695,2147483647,Vehicle,Monthly,145
696,2147483647,Vehicle,Monthly,145
697,2147483647,Vehicle,Bi-Annual,600
698,2147483647,General,Annual,1500
699,2147483647,Vehicle,Monthly,200
700,2147483647,Health,Monthly,200
701,2147483647,Term,Bi-Annual,600
702,2147483647,Term,Bi-Annual,600
703,2147483647,Vehicle,Bi-Annual,675
704,2147483647,Vehicle,Bi-Annual,600
705,2147483647,Term,Bi-Annual,600
706,2147483647,Health,Quarterly,340
707,2147483647,Vehicle,Monthly,200
708,2147483647,Health,Monthly,200
709,2147483647,General,Annual,1100
710,2147483647,Term,Quarterly,300
711,2147483647,Term,Quarterly,300
712,2147483647,Health,Quarterly,300
713,2147483647,Term,Quarterly,300
714,2147483647,Term,Bi-Annual,675
715,2147483647,Vehicle,Bi-Annual,600
716,2147483647,Health,Monthly,200
717,2147483647,Term,Quarterly,340
718,2147483647,Vehicle,Bi-Annual,500
719,2147483647,Vehicle,Bi-Annual,675
720,2147483647,General,Annual,1500
721,2147483647,Health,Monthly,200
722,2147483647,Health,Quarterly,300
723,2147483647,Vehicle,Monthly,200
724,2147483647,Health,Quarterly,300
725,2147483647,Term,Quarterly,340
726,2147483647,General,Annual,1500
727,2147483647,Vehicle,Bi-Annual,500
728,2147483647,Vehicle,Monthly,145
729,2147483647,Vehicle,Bi-Annual,500
730,2147483647,General,Annual,1500
731,2147483647,Health,Annual,1500
732,2147483647,Vehicle,Monthly,145
733,2147483647,Vehicle,Bi-Annual,500
734,2147483647,Health,Quarterly,300
735,2147483647,Term,Quarterly,300
736,2147483647,General,Annual,1100
737,2147483647,Health,Quarterly,340
738,2147483647,General,Annual,1500
739,2147483647,Term,Quarterly,340
740,2147483647,Vehicle,Monthly,145
741,2147483647,Term,Quarterly,300
742,2147483647,Health,Monthly,200
743,2147483647,Vehicle,Monthly,200
744,2147483647,Health,Monthly,145
745,2147483647,Term,Quarterly,340
746,2147483647,Health,Quarterly,300
747,2147483647,Health,Quarterly,340
748,2147483647,General,Monthly,145
749,2147483647,Term,Bi-Annual,500
750,2147483647,Term,Bi-Annual,675
751,2147483647,Health,Quarterly,300
752,2147483647,General,Annual,1500
753,2147483647,General,Monthly,200
754,2147483647,Health,Quarterly,340
755,2147483647,Term,Quarterly,300
756,2147483647,General,Monthly,200
757,2147483647,Health,Annual,1500
758,2147483647,Term,Bi-Annual,500
759,2147483647,Term,Quarterly,300
760,2147483647,General,Annual,1100
761,2147483647,General,Monthly,145
762,2147483647,Health,Monthly,200
763,2147483647,General,Monthly,200
764,2147483647,Vehicle,Bi-Annual,500
