ID,FIRSTNAME,MIDDLENAME,LASTNAME,ALIAS,DATEOFBIRTH,MARITALSTATUS,PRIMARYOCCUPATION,twitterId
28,Arthur,Harold,Reed,Arthur,2017-01-17 00:11:31,3,2,
29,Paul,Evelyn,Richardson,Paul,2017-01-17 00:11:31,3,2,
30,Johnny,Samuel,Edwards,Johnny,2017-01-17 00:11:31,3,2,
31,Jason,Michelle,Hart,Jason,2017-01-17 00:11:31,3,2,
32,Bobby,Samuel,Brown,Bobby,2017-01-17 00:11:31,3,2,
33,Beverly,Jason,Myers,Beverly,2017-01-17 00:11:31,2,2,
34,Martha,Roger,Rivera,Martha,2017-01-17 00:11:31,3,2,
35,Philip,Sara,Allen,Philip,2017-01-17 00:11:31,2,2,
36,Bruce,Sandra,Armstrong,Bruce,2017-01-17 00:11:31,2,2,
37,Thomas,Deborah,Martinez,Thomas,2017-01-17 00:11:31,3,2,
38,Evelyn,Joe,Olson,Evelyn,2017-01-17 00:11:31,3,2,
39,Antonio,Sharon,Ward,Antonio,2017-01-17 00:11:31,2,2,
40,Willie,Steven,Gordon,Willie,2017-01-17 00:11:31,2,2,
41,Roger,Lori,Collins,Roger,2017-01-17 00:11:31,2,2,
42,Frank,Ronald,Bryant,Frank,2017-01-17 00:11:31,2,2,
43,Bobby,Gloria,Moreno,Bobby,2017-01-17 00:11:31,3,2,
44,Cheryl,Roger,Hansen,Cheryl,2017-01-17 00:11:31,2,2,
45,Jimmy,Gregory,Dixon,Jimmy,2017-01-17 00:11:31,3,2,
46,Andrew,Susan,Bradley,Andrew,2017-01-17 00:11:31,2,2,
47,Frances,Jean,Bell,Frances,2017-01-17 00:11:31,3,2,
48,Ralph,Barbara,Nelson,Ralph,2017-01-17 00:11:31,3,2,
49,Ralph,Shawn,Washington,Ralph,2017-01-17 00:11:31,3,2,
50,Phyllis,Lisa,Kelly,Phyllis,2017-01-17 00:11:31,3,2,
51,Jesse,Lisa,Woods,Jesse,2017-01-17 00:11:31,3,2,
52,Heather,Emily,Fisher,Heather,2017-01-17 00:11:31,2,2,
53,Philip,Gloria,Richards,Philip,2017-01-17 00:11:31,3,2,
54,Catherine,Andrew,Phillips,Catherine,2017-01-17 00:11:31,2,2,
55,Harold,Carl,Murray,Harold,2017-01-17 00:11:31,3,2,
56,Anne,Susan,Fisher,Anne,2017-01-17 00:11:31,2,2,
57,Bruce,Marilyn,Andrews,Bruce,2017-01-17 00:11:31,2,2,
58,Earl,Jean,Medina,Earl,2017-01-17 00:11:31,3,2,
59,Louis,Johnny,Flores,Louis,2017-01-17 00:11:31,3,2,
60,Andrea,Katherine,Stevens,Andrea,2017-01-17 00:11:31,2,2,
61,Nicole,Karen,Daniels,Nicole,2017-01-17 00:11:31,3,2,
62,Peter,Norma,Long,Peter,2017-01-17 00:11:31,2,2,
63,Billy,Harry,Woods,Billy,2017-01-17 00:11:31,2,2,
64,Anna,Nancy,Hill,Anna,2017-01-17 00:11:31,2,2,
65,Steven,George,Williamson,Steven,2017-01-17 00:11:31,2,2,
66,Jane,Mary,Cook,Jane,2017-01-17 00:11:31,3,2,
67,Richard,Nicole,Hanson,Richard,2017-01-17 00:11:31,3,2,
68,Daniel,Michelle,Berry,Daniel,2017-01-17 00:11:31,3,2,
69,Anthony,Nicole,Meyer,Anthony,2017-01-17 00:11:31,2,2,
70,Stephen,Clarence,Gray,Stephen,2017-01-17 00:11:31,2,2,
71,Marilyn,Bonnie,Holmes,Marilyn,2017-01-17 00:11:31,3,2,
72,Heather,Nicholas,Brown,Heather,2017-01-17 00:11:31,2,2,
73,Louis,Sharon,Taylor,Louis,2017-01-17 00:11:31,2,2,
74,Michelle,Daniel,Hawkins,Michelle,2017-01-17 00:11:31,3,2,
75,Billy,Tina,Lawrence,Billy,2017-01-17 00:11:31,3,2,
76,Annie,Martha,Gutierrez,Annie,2017-01-17 00:11:31,3,2,
77,Brenda,Shirley,James,Brenda,2017-01-17 00:11:31,3,2,
78,Martha,Kimberly,Lynch,Martha,2017-01-17 00:11:31,3,2,
79,Janet,Jennifer,Schmidt,Janet,2017-01-17 00:11:31,3,2,
80,Marilyn,Paula,Rogers,Marilyn,2017-01-17 00:11:31,2,2,
81,Nancy,Sandra,Patterson,Nancy,2017-01-17 00:11:31,3,2,
82,Beverly,Jacqueline,Day,Beverly,2017-01-17 00:11:31,3,2,
83,Billy,Jacqueline,Russell,Billy,2017-01-17 00:11:31,3,2,
84,Douglas,Alan,Stanley,Douglas,2017-01-17 00:11:31,2,2,
85,Lawrence,Frank,Bishop,Lawrence,2017-01-17 00:11:31,2,2,
86,Theresa,Amy,Hernandez,Theresa,2017-01-17 00:11:31,3,2,
87,Randy,Earl,Mason,Randy,2017-01-17 00:11:31,2,2,
88,Cynthia,Earl,Gordon,Cynthia,2017-01-17 00:11:31,3,2,
89,Jack,Bruce,Holmes,Jack,2017-01-17 00:11:31,2,2,
90,Phyllis,Shawn,Hansen,Phyllis,2017-01-17 00:11:31,2,2,
91,Beverly,Anthony,Ford,Beverly,2017-01-17 00:11:31,3,2,
92,Debra,Frank,Green,Debra,2017-01-17 00:11:31,3,2,
93,Linda,Ruth,Wright,Linda,2017-01-17 00:11:31,3,2,
94,Henry,Henry,Marshall,Henry,2017-01-17 00:11:31,3,2,
95,Sara,Jose,Hayes,Sara,2017-01-17 00:11:31,3,2,
96,Ryan,Kelly,Hunter,Ryan,2017-01-17 00:11:31,2,2,
97,Joseph,Rebecca,Turner,Joseph,2017-01-17 00:11:31,3,2,
98,Roger,Todd,Ray,Roger,2017-01-17 00:11:31,3,2,
99,Jean,Clarence,Brown,Jean,2017-01-17 00:11:31,3,2,
100,Amy,Antonio,Ross,Amy,2017-01-17 00:11:31,2,2,
1001,Kuldeep,Shivanand,Mahajan,kul,2017-01-17 00:11:31,1,1,
1002,Synechron,Syne,Syne,Syne,2017-01-17 00:11:31,1,1,
