id,cardnumber,billerid,startdate,frequencyid,amount
99,5212345678900033,2,2010-10-04 09:30:00,7,7024.2
100,5212345678900034,3,2010-01-02 10:30:00,2,651.82
101,5212345678900034,4,2010-01-03 10:30:00,2,3259.1
102,5212345678900034,2,2010-10-04 09:30:00,7,19554.6
103,5212345678900035,3,2010-01-02 10:30:00,2,156.4
104,5212345678900035,4,2010-01-03 10:30:00,2,782.0
105,5212345678900035,2,2010-10-04 09:30:00,7,4692.0
106,5212345678900036,3,2010-01-02 10:30:00,2,541.38
107,5212345678900036,4,2010-01-03 10:30:00,2,2706.9
108,5212345678900036,2,2010-10-04 09:30:00,7,16241.4
109,5212345678900037,3,2010-01-02 10:30:00,2,180.38
110,5212345678900037,4,2010-01-03 10:30:00,2,901.9
111,5212345678900037,2,2010-10-04 09:30:00,7,5411.4
112,5212345678900038,3,2010-01-02 10:30:00,2,560.32
113,5212345678900038,4,2010-01-03 10:30:00,2,2801.6
114,5212345678900038,2,2010-10-04 09:30:00,7,16809.6
115,5212345678900039,3,2010-01-02 10:30:00,2,323.34
116,5212345678900039,4,2010-01-03 10:30:00,2,1616.7
117,5212345678900039,2,2010-10-04 09:30:00,7,9700.2
118,5212345678900040,3,2010-01-02 10:30:00,2,610.62
119,5212345678900040,4,2010-01-03 10:30:00,2,3053.1
120,5212345678900040,2,2010-10-04 09:30:00,7,18318.6
121,5212345678900041,3,2010-01-02 10:30:00,2,168.26
122,5212345678900041,4,2010-01-03 10:30:00,2,841.3
123,5212345678900041,2,2010-10-04 09:30:00,7,5047.8
124,5212345678900042,3,2010-01-02 10:30:00,2,167.62
125,5212345678900042,4,2010-01-03 10:30:00,2,838.1
126,5212345678900042,2,2010-10-04 09:30:00,7,5028.6
127,5212345678900043,3,2010-01-02 10:30:00,2,156.58
128,5212345678900043,4,2010-01-03 10:30:00,2,782.9
129,5212345678900043,2,2010-10-04 09:30:00,7,4697.4
130,5212345678900044,3,2010-01-02 10:30:00,2,366.2
131,5212345678900044,4,2010-01-03 10:30:00,2,1831.0
132,5212345678900044,2,2010-10-04 09:30:00,7,10986.0
133,5212345678900045,3,2010-01-02 10:30:00,2,494.08
134,5212345678900045,4,2010-01-03 10:30:00,2,2470.4
135,5212345678900045,2,2010-10-04 09:30:00,7,14822.4
136,5212345678900046,3,2010-01-02 10:30:00,2,433.72
137,5212345678900046,4,2010-01-03 10:30:00,2,2168.6
138,5212345678900046,2,2010-10-04 09:30:00,7,13011.6
139,5212345678900047,3,2010-01-02 10:30:00,2,650.64
140,5212345678900047,4,2010-01-03 10:30:00,2,3253.2
141,5212345678900047,2,2010-10-04 09:30:00,7,19519.2
142,5212345678900048,3,2010-01-02 10:30:00,2,426.84
143,5212345678900048,4,2010-01-03 10:30:00,2,2134.2
144,5212345678900048,2,2010-10-04 09:30:00,7,12805.2
145,5212345678900049,3,2010-01-02 10:30:00,2,81.02
146,5212345678900049,4,2010-01-03 10:30:00,2,405.1
147,5212345678900049,2,2010-10-04 09:30:00,7,2430.6
148,5212345678900050,3,2010-01-02 10:30:00,2,202.34
149,5212345678900050,4,2010-01-03 10:30:00,2,1011.7
150,5212345678900050,2,2010-10-04 09:30:00,7,6070.2
151,5212345678900051,3,2010-01-02 10:30:00,2,556.98
152,5212345678900051,4,2010-01-03 10:30:00,2,2784.9
153,5212345678900051,2,2010-10-04 09:30:00,7,16709.4
154,5212345678900052,3,2010-01-02 10:30:00,2,182.1
155,5212345678900052,4,2010-01-03 10:30:00,2,910.5
156,5212345678900052,2,2010-10-04 09:30:00,7,5463.0
157,5212345678900053,3,2010-01-02 10:30:00,2,597.92
158,5212345678900053,4,2010-01-03 10:30:00,2,2989.6
159,5212345678900053,2,2010-10-04 09:30:00,7,17937.6
160,5212345678900054,3,2010-01-02 10:30:00,2,283.02
161,5212345678900054,4,2010-01-03 10:30:00,2,1415.1
162,5212345678900054,2,2010-10-04 09:30:00,7,8490.6
163,5212345678900055,3,2010-01-02 10:30:00,2,610.4
164,5212345678900055,4,2010-01-03 10:30:00,2,3052.0
165,5212345678900055,2,2010-10-04 09:30:00,7,18312.0
166,5212345678900056,3,2010-01-02 10:30:00,2,404.86
167,5212345678900056,4,2010-01-03 10:30:00,2,2024.3
168,5212345678900056,2,2010-10-04 09:30:00,7,12145.8
169,5212345678900057,3,2010-01-02 10:30:00,2,530.1
170,5212345678900057,4,2010-01-03 10:30:00,2,2650.5
171,5212345678900057,2,2010-10-04 09:30:00,7,15903.0
172,5212345678900058,3,2010-01-02 10:30:00,2,360.82
173,5212345678900058,4,2010-01-03 10:30:00,2,1804.1
174,5212345678900058,2,2010-10-04 09:30:00,7,10824.6
175,5212345678900059,3,2010-01-02 10:30:00,2,651.3
176,5212345678900059,4,2010-01-03 10:30:00,2,3256.5
177,5212345678900059,2,2010-10-04 09:30:00,7,19539.0
178,5212345678900060,3,2010-01-02 10:30:00,2,287.08
179,5212345678900060,4,2010-01-03 10:30:00,2,1435.4
180,5212345678900060,2,2010-10-04 09:30:00,7,8612.4
181,5212345678900061,3,2010-01-02 10:30:00,2,450.8
182,5212345678900061,4,2010-01-03 10:30:00,2,2254.0
183,5212345678900061,2,2010-10-04 09:30:00,7,13524.0
184,5212345678900062,3,2010-01-02 10:30:00,2,433.68
185,5212345678900062,4,2010-01-03 10:30:00,2,2168.4
186,5212345678900062,2,2010-10-04 09:30:00,7,13010.4
187,5212345678900063,3,2010-01-02 10:30:00,2,445.94
188,5212345678900063,4,2010-01-03 10:30:00,2,2229.7
189,5212345678900063,2,2010-10-04 09:30:00,7,13378.2
190,5212345678900064,3,2010-01-02 10:30:00,2,525.96
191,5212345678900064,4,2010-01-03 10:30:00,2,2629.8
192,5212345678900064,2,2010-10-04 09:30:00,7,15778.8
193,5212345678900065,3,2010-01-02 10:30:00,2,360.76
194,5212345678900065,4,2010-01-03 10:30:00,2,1803.8
195,5212345678900065,2,2010-10-04 09:30:00,7,10822.8
196,5212345678900066,3,2010-01-02 10:30:00,2,542.78
197,5212345678900066,4,2010-01-03 10:30:00,2,2713.9
198,5212345678900066,2,2010-10-04 09:30:00,7,16283.4
199,5212345678900067,3,2010-01-02 10:30:00,2,554.62
200,5212345678900067,4,2010-01-03 10:30:00,2,2773.1
201,5212345678900067,2,2010-10-04 09:30:00,7,16638.6
202,5212345678900068,3,2010-01-02 10:30:00,2,567.74
203,5212345678900068,4,2010-01-03 10:30:00,2,2838.7
204,5212345678900068,2,2010-10-04 09:30:00,7,17032.2
205,5212345678900069,3,2010-01-02 10:30:00,2,477.2
206,5212345678900069,4,2010-01-03 10:30:00,2,2386.0
207,5212345678900069,2,2010-10-04 09:30:00,7,14316.0
208,5212345678900070,3,2010-01-02 10:30:00,2,95.02
209,5212345678900070,4,2010-01-03 10:30:00,2,475.1
210,5212345678900070,2,2010-10-04 09:30:00,7,2850.6
211,5212345678900071,3,2010-01-02 10:30:00,2,231.16
212,5212345678900071,4,2010-01-03 10:30:00,2,1155.8
213,5212345678900071,2,2010-10-04 09:30:00,7,6934.8
214,5212345678900072,3,2010-01-02 10:30:00,2,511.12
215,5212345678900072,4,2010-01-03 10:30:00,2,2555.6
216,5212345678900072,2,2010-10-04 09:30:00,7,15333.6
217,5212345678900073,3,2010-01-02 10:30:00,2,621.22
218,5212345678900073,4,2010-01-03 10:30:00,2,3106.1
219,5212345678900073,2,2010-10-04 09:30:00,7,18636.6
220,5212345678900074,3,2010-01-02 10:30:00,2,473.46
221,5212345678900074,4,2010-01-03 10:30:00,2,2367.3
222,5212345678900074,2,2010-10-04 09:30:00,7,14203.8
223,5212345678900075,3,2010-01-02 10:30:00,2,516.76
224,5212345678900075,4,2010-01-03 10:30:00,2,2583.8
225,5212345678900075,2,2010-10-04 09:30:00,7,15502.8
226,5212345678900076,3,2010-01-02 10:30:00,2,232.22
227,5212345678900076,4,2010-01-03 10:30:00,2,1161.1
228,5212345678900076,2,2010-10-04 09:30:00,7,6966.6
229,5212345678900077,3,2010-01-02 10:30:00,2,549.22
230,5212345678900077,4,2010-01-03 10:30:00,2,2746.1
231,5212345678900077,2,2010-10-04 09:30:00,7,16476.6
232,5212345678900078,3,2010-01-02 10:30:00,2,568.42
233,5212345678900078,4,2010-01-03 10:30:00,2,2842.1
234,5212345678900078,2,2010-10-04 09:30:00,7,17052.6
235,5212345678900079,3,2010-01-02 10:30:00,2,241.06
236,5212345678900079,4,2010-01-03 10:30:00,2,1205.3
237,5212345678900079,2,2010-10-04 09:30:00,7,7231.8
238,5212345678900080,3,2010-01-02 10:30:00,2,343.72
239,5212345678900080,4,2010-01-03 10:30:00,2,1718.6
240,5212345678900080,2,2010-10-04 09:30:00,7,10311.6
241,5212345678900081,3,2010-01-02 10:30:00,2,196.62
242,5212345678900081,4,2010-01-03 10:30:00,2,983.1
243,5212345678900081,2,2010-10-04 09:30:00,7,5898.6
244,5212345678900082,3,2010-01-02 10:30:00,2,254.68
245,5212345678900082,4,2010-01-03 10:30:00,2,1273.4
246,5212345678900082,2,2010-10-04 09:30:00,7,7640.4
247,5212345678900083,3,2010-01-02 10:30:00,2,572.82
248,5212345678900083,4,2010-01-03 10:30:00,2,2864.1
249,5212345678900083,2,2010-10-04 09:30:00,7,17184.6
250,5212345678900084,3,2010-01-02 10:30:00,2,249.72
251,5212345678900084,4,2010-01-03 10:30:00,2,1248.6
252,5212345678900084,2,2010-10-04 09:30:00,7,7491.6
253,5212345678900085,3,2010-01-02 10:30:00,2,633.56
254,5212345678900085,4,2010-01-03 10:30:00,2,3167.8
255,5212345678900085,2,2010-10-04 09:30:00,7,19006.8
256,5212345678900086,3,2010-01-02 10:30:00,2,153.22
257,5212345678900086,4,2010-01-03 10:30:00,2,766.1
258,5212345678900086,2,2010-10-04 09:30:00,7,4596.6
259,5212345678900087,3,2010-01-02 10:30:00,2,575.36
260,5212345678900087,4,2010-01-03 10:30:00,2,2876.8
261,5212345678900087,2,2010-10-04 09:30:00,7,17260.8
262,5212345678900088,3,2010-01-02 10:30:00,2,288.78
263,5212345678900088,4,2010-01-03 10:30:00,2,1443.9
264,5212345678900088,2,2010-10-04 09:30:00,7,8663.4
265,5212345678900089,3,2010-01-02 10:30:00,2,419.12
266,5212345678900089,4,2010-01-03 10:30:00,2,2095.6
267,5212345678900089,2,2010-10-04 09:30:00,7,12573.6
268,5212345678900090,3,2010-01-02 10:30:00,2,509.06
269,5212345678900090,4,2010-01-03 10:30:00,2,2545.3
270,5212345678900090,2,2010-10-04 09:30:00,7,15271.8
271,5212345678900091,3,2010-01-02 10:30:00,2,464.32
272,5212345678900091,4,2010-01-03 10:30:00,2,2321.6
273,5212345678900091,2,2010-10-04 09:30:00,7,13929.6
274,5212345678900092,3,2010-01-02 10:30:00,2,186.02
275,5212345678900092,4,2010-01-03 10:30:00,2,930.1
276,5212345678900092,2,2010-10-04 09:30:00,7,5580.6
277,5212345678900093,3,2010-01-02 10:30:00,2,244.54
278,5212345678900093,4,2010-01-03 10:30:00,2,1222.7
279,5212345678900093,2,2010-10-04 09:30:00,7,7336.2
280,5212345678900094,3,2010-01-02 10:30:00,2,337.8
281,5212345678900094,4,2010-01-03 10:30:00,2,1689.0
282,5212345678900094,2,2010-10-04 09:30:00,7,10134.0
283,5212345678900095,3,2010-01-02 10:30:00,2,422.92
284,5212345678900095,4,2010-01-03 10:30:00,2,2114.6
285,5212345678900095,2,2010-10-04 09:30:00,7,12687.6
286,5212345678900096,3,2010-01-02 10:30:00,2,652.44
287,5212345678900096,4,2010-01-03 10:30:00,2,3262.2
288,5212345678900096,2,2010-10-04 09:30:00,7,19573.2
289,5212345678900097,3,2010-01-02 10:30:00,2,434.2
290,5212345678900097,4,2010-01-03 10:30:00,2,2171.0
291,5212345678900097,2,2010-10-04 09:30:00,7,13026.0
292,5212345678900098,3,2010-01-02 10:30:00,2,637.34
293,5212345678900098,4,2010-01-03 10:30:00,2,3186.7
294,5212345678900098,2,2010-10-04 09:30:00,7,19120.2
295,5212345678900099,3,2010-01-02 10:30:00,2,296.04
296,5212345678900099,4,2010-01-03 10:30:00,2,1480.2
297,5212345678900099,2,2010-10-04 09:30:00,7,8881.2
298,5212345678900100,3,2010-01-02 10:30:00,2,205.64
299,5212345678900100,4,2010-01-03 10:30:00,2,1028.2
300,5212345678900100,2,2010-10-04 09:30:00,7,6169.2
