TRANSACTIONID,FROMCUSTOMERID,FROMACCOUNTNO,TOCUSTOMERID,TOACCOUNTNO,TRANSACTIONSOURCE,DEBITCREDITINDICATOR,AMOUNT,TIMEOFTRANSACTION,DATE,STATUS,CHEQUEID,WIREID,ONLINEID,BRANCHCODE,DESCRIPTION
6005148,184,20656,538,17015,Wire,debit,325,03:39:20,11-Jul-2016,Cancelled,None,2185086,None,USA-AZ85381,Transaction is cancelled.
3637179,184,20656,538,17015,Wire,debit,468,03:33:32,11-Jul-2016,Cancelled,None,4118770,None,USA-AZ85381,Transaction is cancelled.
5461864,184,20656,538,17015,Wire,debit,132,01:31:41,11-Jul-2016,Cancelled,None,7988516,None,USA-AZ85381,Transaction is cancelled.
8504567,184,20656,538,17015,Wire,debit,668,02:28:02,11-Jul-2016,Cancelled,None,18287,None,USA-AZ85381,Transaction is cancelled.
8949296,184,20656,538,17015,Wire,debit,92,01:07:37,11-Jul-2016,Cancelled,None,3793878,None,USA-AZ85381,Transaction is cancelled.
9033443,184,20656,538,17015,Wire,debit,197,03:20:21,11-Jul-2016,Cancelled,None,1028032,None,USA-AZ85381,Transaction is cancelled.
863883,184,20656,538,17015,Wire,debit,394,01:36:32,11-Jul-2016,Cancelled,None,7079640,None,USA-AZ85381,Transaction is cancelled.
3440226,184,20656,538,17015,Wire,debit,78,02:49:25,11-Jul-2016,Cancelled,None,9713121,None,USA-AZ85381,Transaction is cancelled.
8915533,184,20656,538,17015,Wire,debit,759,00:02:26,11-Jul-2016,Cancelled,None,3757968,None,USA-AZ85381,Transaction is cancelled.
7321762,184,20656,538,17015,Wire,debit,237,02:09:32,11-Jul-2016,Cancelled,None,3587358,None,USA-AZ85381,Transaction is cancelled.
2817181,184,20656,538,17015,Wire,debit,667,02:00:39,11-Jul-2016,Cancelled,None,872993,None,USA-AZ85381,Transaction is cancelled.
3210090,184,20656,538,17015,Wire,debit,430,01:08:57,11-Jul-2016,Cancelled,None,212876,None,USA-AZ85381,Transaction is cancelled.
5305620,184,20656,538,17015,Wire,debit,565,02:05:26,11-Jul-2016,Cancelled,None,174209,None,USA-AZ85381,Transaction is cancelled.
1452439,184,20656,538,17015,Wire,debit,46,03:21:59,11-Jul-2016,Cancelled,None,7202349,None,USA-AZ85381,Transaction is cancelled.
1469980,184,20656,538,17015,Wire,debit,324,00:45:04,11-Jul-2016,Cancelled,None,2419573,None,USA-AZ85381,Transaction is cancelled.
8831962,184,20656,538,17015,Wire,debit,201,03:23:15,11-Jul-2016,Cancelled,None,1416699,None,USA-AZ85381,Transaction is cancelled.
3653175,184,20656,538,17015,Wire,debit,465,01:11:00,11-Jul-2016,Cancelled,None,4357040,None,USA-AZ85381,Transaction is cancelled.
5846012,184,20656,538,17015,Wire,debit,112,03:00:27,11-Jul-2016,Cancelled,None,2772735,None,USA-AZ85381,Transaction is cancelled.
605003,184,20656,538,17015,Wire,debit,757,02:58:24,11-Jul-2016,Cancelled,None,4061369,None,USA-AZ85381,Transaction is cancelled.
3695143,184,20656,538,17015,Wire,debit,229,02:17:25,11-Jul-2016,Cancelled,None,3292096,None,USA-AZ85381,Transaction is cancelled.
8957556,184,20656,538,17015,Wire,debit,92,02:13:48,11-Jul-2016,Cancelled,None,344946,None,USA-AZ85381,Transaction is cancelled.
944075,184,20656,538,17015,Wire,debit,520,01:44:24,11-Jul-2016,Cancelled,None,8861579,None,USA-AZ85381,Transaction is cancelled.
4782104,184,20656,538,17015,Wire,debit,547,00:07:49,11-Jul-2016,Cancelled,None,5562427,None,USA-AZ85381,Transaction is cancelled.
2326582,184,20656,538,17015,Wire,debit,199,02:04:00,11-Jul-2016,Cancelled,None,9046829,None,USA-AZ85381,Transaction is cancelled.
3975512,184,20656,538,17015,Wire,debit,461,01:31:42,11-Jul-2016,Cancelled,None,9626273,None,USA-AZ85381,Transaction is cancelled.
4077230,184,20656,538,17015,Wire,debit,263,03:07:39,11-Jul-2016,Cancelled,None,126479,None,USA-AZ85381,Transaction is cancelled.
3116380,184,20656,538,17015,Wire,debit,831,01:42:55,11-Jul-2016,Cancelled,None,491959,None,USA-AZ85381,Transaction is cancelled.
8130835,184,20656,538,17015,Wire,debit,569,01:56:58,11-Jul-2016,Cancelled,None,9156028,None,USA-AZ85381,Transaction is cancelled.
1512333,184,20656,538,17015,Wire,debit,18,01:21:34,11-Jul-2016,Cancelled,None,7297793,None,USA-AZ85381,Transaction is cancelled.
278824,184,20656,538,17015,Wire,debit,279,03:40:51,11-Jul-2016,Cancelled,None,2062792,None,USA-AZ85381,Transaction is cancelled.
8528782,184,20656,538,17015,Wire,debit,996,02:16:30,11-Jul-2016,Cancelled,None,8672237,None,USA-AZ85381,Transaction is cancelled.
5149048,184,20656,538,17015,Wire,debit,694,03:23:51,11-Jul-2016,Cancelled,None,7707538,None,USA-AZ85381,Transaction is cancelled.
3158911,184,20656,538,17015,Wire,debit,112,03:05:23,11-Jul-2016,Cancelled,None,545309,None,USA-AZ85381,Transaction is cancelled.
546981,184,20656,538,17015,Wire,debit,235,00:26:46,11-Jul-2016,Cancelled,None,9869536,None,USA-AZ85381,Transaction is cancelled.
7497716,184,20656,538,17015,Wire,debit,386,02:11:05,11-Jul-2016,Cancelled,None,8863525,None,USA-AZ85381,Transaction is cancelled.
611509,184,20656,538,17015,Wire,debit,310,03:15:58,11-Jul-2016,Cancelled,None,6832302,None,USA-AZ85381,Transaction is cancelled.
4909620,184,20656,538,17015,Wire,debit,235,03:43:27,11-Jul-2016,Cancelled,None,159967,None,USA-AZ85381,Transaction is cancelled.
7445511,184,20656,538,17015,Wire,debit,978,03:39:03,11-Jul-2016,Cancelled,None,3542731,None,USA-AZ85381,Transaction is cancelled.
9693688,184,20656,538,17015,Wire,debit,54,02:31:12,11-Jul-2016,Cancelled,None,8032247,None,USA-AZ85381,Transaction is cancelled.
3801476,184,20656,538,17015,Wire,debit,702,03:45:30,11-Jul-2016,Cancelled,None,4939232,None,USA-AZ85381,Transaction is cancelled.
9169590,184,20656,538,17015,Wire,debit,224,00:34:51,11-Jul-2016,Cancelled,None,8195051,None,USA-AZ85381,Transaction is cancelled.
3071503,184,20656,538,17015,Wire,debit,246,01:55:37,11-Jul-2016,Cancelled,None,5564712,None,USA-AZ85381,Transaction is cancelled.
7034658,184,20656,538,17015,Wire,debit,633,03:28:10,11-Jul-2016,Cancelled,None,5348955,None,USA-AZ85381,Transaction is cancelled.
3899260,184,20656,538,17015,Wire,debit,621,01:15:22,11-Jul-2016,Cancelled,None,757821,None,USA-AZ85381,Transaction is cancelled.
1457889,184,20656,538,17015,Wire,debit,491,00:13:25,11-Jul-2016,Cancelled,None,9325694,None,USA-AZ85381,Transaction is cancelled.
1192749,184,20656,538,17015,Wire,debit,417,01:23:17,11-Jul-2016,Cancelled,None,1839132,None,USA-AZ85381,Transaction is cancelled.
1233951,184,20656,538,17015,Wire,debit,930,01:11:29,11-Jul-2016,Cancelled,None,4585312,None,USA-AZ85381,Transaction is cancelled.
3475189,184,20656,538,17015,Wire,debit,318,00:14:38,11-Jul-2016,Cancelled,None,7691172,None,USA-AZ85381,Transaction is cancelled.
2663325,184,20656,538,17015,Wire,debit,671,01:07:29,11-Jul-2016,Cancelled,None,7205013,None,USA-AZ85381,Transaction is cancelled.
1043939,184,20656,538,17015,Wire,debit,350,01:51:39,11-Jul-2016,Cancelled,None,1818087,None,USA-AZ85381,Transaction is cancelled.
650647,184,20656,538,17015,Wire,debit,312,02:13:26,11-Jul-2016,Cancelled,None,26181,None,USA-AZ85381,Transaction is cancelled.
8605065,184,20656,538,17015,Wire,debit,78,02:54:55,11-Jul-2016,Cancelled,None,4020998,None,USA-AZ85381,Transaction is cancelled.
9615768,184,20656,538,17015,Wire,debit,127,00:46:26,11-Jul-2016,Cancelled,None,6258662,None,USA-AZ85381,Transaction is cancelled.
4069077,184,20656,538,17015,Wire,debit,510,01:31:42,11-Jul-2016,Cancelled,None,2159962,None,USA-AZ85381,Transaction is cancelled.
3295587,184,20656,538,17015,Wire,debit,273,02:43:36,11-Jul-2016,Cancelled,None,4041838,None,USA-AZ85381,Transaction is cancelled.
8651305,184,20656,538,17015,Wire,debit,224,02:14:41,11-Jul-2016,Cancelled,None,5816510,None,USA-AZ85381,Transaction is cancelled.
6579378,184,20656,538,17015,Wire,debit,313,02:43:06,11-Jul-2016,Cancelled,None,8714000,None,USA-AZ85381,Transaction is cancelled.
5682870,184,20656,538,17015,Wire,debit,865,03:26:28,11-Jul-2016,Cancelled,None,3796211,None,USA-AZ85381,Transaction is cancelled.
6231205,184,20656,538,17015,Wire,debit,458,00:30:14,11-Jul-2016,Cancelled,None,6415126,None,USA-AZ85381,Transaction is cancelled.
737574,184,20656,538,17015,Wire,debit,710,03:21:52,11-Jul-2016,Cancelled,None,2101245,None,USA-AZ85381,Transaction is cancelled.
7242357,184,20656,538,17015,Wire,debit,944,03:00:26,11-Jul-2016,Cancelled,None,9079116,None,USA-AZ85381,Transaction is cancelled.
3864796,184,20656,538,17015,Wire,debit,982,03:46:02,11-Jul-2016,Cancelled,None,7776456,None,USA-AZ85381,Transaction is cancelled.
3020537,184,20656,538,17015,Wire,debit,213,00:06:21,11-Jul-2016,Cancelled,None,890885,None,USA-AZ85381,Transaction is cancelled.
2812620,184,20656,538,17015,Wire,debit,469,00:21:34,11-Jul-2016,Cancelled,None,7603261,None,USA-AZ85381,Transaction is cancelled.
5494482,184,20656,538,17015,Wire,debit,942,03:36:19,11-Jul-2016,Cancelled,None,7576035,None,USA-AZ85381,Transaction is cancelled.
2022195,184,20656,538,17015,Wire,debit,650,01:47:58,11-Jul-2016,Cancelled,None,6941622,None,USA-AZ85381,Transaction is cancelled.
288095,184,20656,538,17015,Wire,debit,151,02:45:29,11-Jul-2016,Cancelled,None,6376404,None,USA-AZ85381,Transaction is cancelled.
9072291,184,20656,538,17015,Wire,debit,588,00:55:11,11-Jul-2016,Cancelled,None,8884455,None,USA-AZ85381,Transaction is cancelled.
6267094,184,20656,538,17015,Wire,debit,479,03:18:42,11-Jul-2016,Cancelled,None,1658417,None,USA-AZ85381,Transaction is cancelled.
5972657,184,20656,538,17015,Wire,debit,156,03:07:08,11-Jul-2016,Cancelled,None,1718458,None,USA-AZ85381,Transaction is cancelled.
9850172,184,20656,538,17015,Wire,debit,428,01:03:06,11-Jul-2016,Cancelled,None,2680349,None,USA-AZ85381,Transaction is cancelled.
8262760,184,20656,538,17015,Wire,debit,394,01:41:41,11-Jul-2016,Cancelled,None,2571350,None,USA-AZ85381,Transaction is cancelled.
9422923,184,20656,538,17015,Wire,debit,780,03:53:20,11-Jul-2016,Cancelled,None,6264305,None,USA-AZ85381,Transaction is cancelled.
6157343,184,20656,538,17015,Wire,debit,184,02:09:42,11-Jul-2016,Cancelled,None,5003129,None,USA-AZ85381,Transaction is cancelled.
502098,184,20656,538,17015,Wire,debit,562,03:35:41,11-Jul-2016,Cancelled,None,2812657,None,USA-AZ85381,Transaction is cancelled.
7269035,184,20656,538,17015,Wire,debit,315,00:46:09,11-Jul-2016,Cancelled,None,6012646,None,USA-AZ85381,Transaction is cancelled.
4262575,184,20656,538,17015,Wire,debit,53,01:12:48,11-Jul-2016,Cancelled,None,2654027,None,USA-AZ85381,Transaction is cancelled.
7654259,184,20656,538,17015,Wire,debit,166,02:18:13,11-Jul-2016,Cancelled,None,2430781,None,USA-AZ85381,Transaction is cancelled.
4875276,184,20656,538,17015,Wire,debit,762,02:09:56,11-Jul-2016,Cancelled,None,1077105,None,USA-AZ85381,Transaction is cancelled.
6571495,184,20656,538,17015,Wire,debit,536,01:56:04,11-Jul-2016,Cancelled,None,9808718,None,USA-AZ85381,Transaction is cancelled.
598297,184,20656,538,17015,Wire,debit,540,00:14:38,11-Jul-2016,Cancelled,None,6094082,None,USA-AZ85381,Transaction is cancelled.
922002,184,20656,538,17015,Wire,debit,378,02:19:49,11-Jul-2016,Cancelled,None,9526547,None,USA-AZ85381,Transaction is cancelled.
6328692,184,20656,538,17015,Wire,debit,667,01:01:05,11-Jul-2016,Cancelled,None,2036241,None,USA-AZ85381,Transaction is cancelled.
6434143,184,20656,538,17015,Wire,debit,354,00:40:04,11-Jul-2016,Cancelled,None,4602328,None,USA-AZ85381,Transaction is cancelled.
412220,184,20656,538,17015,Wire,debit,419,01:16:28,11-Jul-2016,Completed,None,7378133,None,USA-AZ85381,None
5108166,184,20656,538,17015,Wire,debit,74,03:49:34,11-Jul-2016,Completed,None,7444976,None,USA-AZ85381,None
2451115,184,20656,538,17015,Wire,debit,658,00:27:11,11-Jul-2016,Completed,None,606600,None,USA-AZ85381,None
3640322,184,20656,538,17015,Wire,debit,993,02:37:11,11-Jul-2016,Completed,None,8868531,None,USA-AZ85381,None
1865342,184,20656,538,17015,Wire,debit,73,02:59:16,11-Jul-2016,Completed,None,5754193,None,USA-AZ85381,None
2329917,184,20656,538,17015,Wire,debit,129,01:48:44,11-Jul-2016,Completed,None,7532332,None,USA-AZ85381,None
4877616,627,48093,646,42914,Wire,debit,893,01:37:37,11-Jul-2016,Completed,None,5613279,None,USA-WY83113,None
7427776,627,48093,646,42914,Cash,credit,499,02:22:54,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
8677330,627,48093,646,42914,Cash,credit,534,00:33:00,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
2944241,627,48093,646,42914,Cash,credit,86,01:41:31,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
297343,627,48093,646,42914,Cash,credit,70,00:50:59,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
9786243,627,48093,646,42914,Cash,credit,989,00:45:23,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
2972512,627,48093,646,42914,Cash,credit,233,00:11:53,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
8419182,627,48093,646,42914,Cash,credit,608,00:14:13,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
8511438,627,48093,646,42914,Cash,credit,823,00:41:50,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
6229657,627,48093,646,42914,Cash,credit,497,02:15:15,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
7466986,627,48093,646,42914,Cash,credit,772,02:38:01,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1844237,627,48093,646,42914,Cash,credit,935,02:38:58,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
6120456,627,48093,646,42914,Cash,credit,152,00:39:25,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
7627881,627,48093,646,42914,Cash,credit,525,03:37:30,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
2316541,627,48093,646,42914,Cash,credit,217,01:19:12,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
6963275,627,48093,646,42914,Cash,credit,693,01:12:41,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
9193066,627,48093,646,42914,Cash,credit,805,00:43:14,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
5838779,627,48093,646,42914,Cash,credit,123,00:04:26,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
9590395,627,48093,646,42914,Cash,credit,468,00:52:14,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1693765,627,48093,646,42914,Cash,credit,322,01:48:02,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
760178,627,48093,646,42914,Cash,credit,639,02:58:59,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
6425533,627,48093,646,42914,Cash,credit,679,02:47:03,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
6613317,627,48093,646,42914,Cash,credit,947,02:29:15,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
3591461,627,48093,646,42914,Cash,credit,294,02:14:04,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
9636853,627,48093,646,42914,Cash,credit,447,00:51:00,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
4230268,627,48093,646,42914,Cash,credit,5,03:24:34,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
7154728,627,48093,646,42914,Cash,credit,591,03:49:33,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
6609870,627,48093,646,42914,Cash,credit,544,00:45:02,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
2797322,627,48093,646,42914,Cash,credit,781,02:15:37,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
3028627,627,48093,646,42914,Cash,credit,953,00:03:09,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1178025,627,48093,646,42914,Cash,credit,225,01:09:27,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
7544488,627,48093,646,42914,Cash,credit,963,00:36:06,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1418417,627,48093,646,42914,Cash,credit,401,03:11:21,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
4338898,627,48093,646,42914,Cash,credit,956,00:10:12,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1733730,627,48093,646,42914,Cash,credit,226,01:37:57,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1274624,627,48093,646,42914,Cash,credit,691,02:04:17,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
5721547,627,48093,646,42914,Cash,credit,474,01:56:00,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
9400120,627,48093,646,42914,Cash,credit,796,00:29:08,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
498430,627,48093,646,42914,Cash,credit,950,03:10:53,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
3867265,627,48093,646,42914,Cash,credit,135,02:26:50,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
8414967,627,48093,646,42914,Cash,credit,562,00:39:24,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
8281047,627,48093,646,42914,Cash,credit,865,00:22:20,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
3465092,627,48093,646,42914,Cash,credit,237,01:34:46,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
497151,627,48093,646,42914,Cash,credit,898,01:53:05,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
12416,627,48093,646,42914,Cash,credit,601,03:58:23,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1377139,627,48093,646,42914,Cash,credit,269,01:15:27,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
6502998,627,48093,646,42914,Cash,credit,19,01:38:54,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1546659,627,48093,646,42914,Cash,credit,643,00:19:50,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
5668744,627,48093,646,42914,Cash,credit,567,01:36:51,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1129845,627,48093,646,42914,Cash,credit,962,01:41:38,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1371410,627,48093,646,42914,Cash,credit,479,03:07:26,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
3415898,627,48093,646,42914,Cash,credit,549,00:59:54,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
6926564,627,48093,646,42914,Cash,credit,578,01:08:08,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
2148401,627,48093,646,42914,Cash,credit,398,02:16:25,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
7030120,627,48093,646,42914,Cash,credit,528,01:32:12,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1860686,627,48093,646,42914,Cash,credit,419,02:49:04,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
5508273,627,48093,646,42914,Cash,credit,265,00:51:19,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
6213668,627,48093,646,42914,Cash,credit,648,00:32:29,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
3416212,627,48093,646,42914,Cash,credit,580,03:39:07,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
8631413,627,48093,646,42914,Cash,credit,359,03:39:40,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
5078403,627,48093,646,42914,Cash,credit,404,01:19:57,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
9466403,627,48093,646,42914,Cash,credit,868,01:46:21,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
9757225,627,48093,646,42914,Cash,credit,999,01:17:15,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
2049325,627,48093,646,42914,Cash,credit,729,00:54:17,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
6955660,627,48093,646,42914,Cash,credit,432,00:44:59,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
9145476,627,48093,646,42914,Cash,credit,128,01:00:57,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
7973409,627,48093,646,42914,Cash,credit,557,02:13:03,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
4346421,627,48093,646,42914,Cash,credit,303,00:15:39,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
7052280,627,48093,646,42914,Cash,credit,790,03:15:54,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
7539451,627,48093,646,42914,Cash,credit,857,00:51:19,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
8603612,627,48093,646,42914,Cash,credit,109,01:20:40,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
8754688,627,48093,646,42914,Cash,credit,299,03:02:22,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
6175534,627,48093,646,42914,Cash,credit,114,02:48:39,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
9139195,627,48093,646,42914,Cash,credit,678,02:12:29,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
3712413,627,48093,646,42914,Cash,credit,256,01:34:04,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
3842497,627,48093,646,42914,Cash,credit,393,00:11:33,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
6563398,627,48093,646,42914,Cash,credit,910,01:53:01,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
3148784,627,48093,646,42914,Cash,credit,393,01:45:40,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
8651482,627,48093,646,42914,Cash,credit,481,03:34:16,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
5785560,627,48093,646,42914,Cash,credit,582,02:38:40,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1776254,627,48093,646,42914,Cash,credit,38,03:47:41,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
4010833,627,48093,646,42914,Cash,credit,734,03:57:52,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
3220086,627,48093,646,42914,Cash,credit,155,02:38:29,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1427659,627,48093,646,42914,Cash,credit,360,03:43:43,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
7675081,627,48093,646,42914,Cash,credit,811,03:03:38,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
7347306,627,48093,646,42914,Cash,credit,406,03:56:47,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
211186,627,48093,646,42914,Cash,credit,181,00:43:48,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
2813643,627,48093,646,42914,Cash,credit,25,03:38:40,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
7111896,627,48093,646,42914,Cash,credit,714,00:07:12,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
3630505,627,48093,646,42914,Cash,credit,442,03:20:30,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
5924260,627,48093,646,42914,Cash,credit,669,03:29:04,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
9489957,627,48093,646,42914,Cash,credit,659,01:16:20,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1635809,627,48093,646,42914,Cash,credit,939,01:50:48,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
139138,627,48093,646,42914,Cash,credit,815,01:06:18,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1421578,627,48093,646,42914,Cash,credit,195,02:01:42,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1725873,627,48093,646,42914,Cash,credit,218,03:25:52,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
9781326,627,48093,646,42914,Cash,credit,414,03:06:38,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
7102663,627,48093,646,42914,Cash,credit,109,01:08:26,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
2534254,627,48093,646,42914,Cash,credit,937,03:54:48,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
9109810,627,48093,646,42914,Cash,credit,865,00:33:13,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
8436405,627,48093,646,42914,Cash,credit,703,03:30:51,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
924832,627,48093,646,42914,Cash,credit,824,03:27:42,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
7295353,627,48093,646,42914,Cash,credit,435,00:04:17,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
1165980,627,48093,646,42914,Cash,credit,858,01:10:29,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
9944397,627,48093,646,42914,Cash,credit,740,02:38:40,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
6682710,627,48093,646,42914,Cash,credit,176,00:55:13,11-Jul-2016,Completed,None,None,None,USA-WY83113,None
