id,customerid,fromaccount,toaccount,amount,balance,transactiontype,whentime
186,86,12345,930344,7661.66666667,7661.66666667,2,2013-12-31 20:29:51
187,87,12345,602125,28768.0,28768.0,2,2013-12-31 20:29:51
188,88,12345,752325,14439.0,14439.0,2,2013-12-31 20:29:51
189,89,12345,893766,20956.6666667,20956.6666667,2,2013-12-31 20:29:51
190,90,12345,624005,25453.3333333,25453.3333333,2,2013-12-31 20:29:51
191,91,12345,275651,23216.0,23216.0,2,2013-12-31 20:29:51
192,92,12345,908786,9301.0,9301.0,2,2013-12-31 20:29:51
193,93,12345,844747,12227.6666667,12227.6666667,2,2013-12-31 20:29:51
194,94,12345,627076,16890.0,16890.0,2,2013-12-31 20:29:51
195,95,12345,876359,21146.6666667,21146.6666667,2,2013-12-31 20:29:51
196,96,12345,192134,32622.6666667,32622.6666667,2,2013-12-31 20:29:51
197,97,12345,666203,21710.0,21710.0,2,2013-12-31 20:29:51
198,98,12345,674477,31867.6666667,31867.6666667,2,2013-12-31 20:29:51
199,99,12345,418939,14802.3333333,14802.3333333,2,2013-12-31 20:29:51
200,100,12345,932297,10282.3333333,10282.3333333,2,2013-12-31 20:29:51
201,92,908786,941307,1767.19,7533.81,1,2013-12-31 20:29:51
202,56,908786,941307,1767.19,22010.5233333,2,2013-12-31 20:29:51
203,51,491731,954873,5569.93333333,22279.7333333,1,2013-12-31 20:39:51
204,26,491731,954873,5569.93333333,30531.2666667,2,2013-12-31 20:39:51
205,94,627076,413103,2871.3,14018.7,1,2013-12-31 20:49:51
206,69,627076,413103,2871.3,26731.9666667,2,2013-12-31 20:49:51
207,91,275651,954873,2321.6,20894.4,1,2013-12-31 20:59:51
208,26,275651,954873,2321.6,32852.8666667,2,2013-12-31 20:59:51
209,45,236879,943992,2717.44,21986.56,1,2013-12-31 21:09:51
210,53,236879,943992,2717.44,32613.44,2,2013-12-31 21:09:51
211,69,413103,306189,5346.39333333,21385.5733333,1,2013-12-31 21:19:51
212,52,413103,306189,5346.39333333,14451.3933333,2,2013-12-31 21:19:51
213,89,893766,268381,1886.1,19070.5666667,1,2013-12-31 21:29:51
214,70,893766,268381,1886.1,6637.76666667,2,2013-12-31 21:29:51
215,60,936429,871572,1722.48,12631.52,1,2014-01-01 20:39:51
216,21,936429,871572,1722.48,16846.8133333,2,2014-01-01 20:39:51
217,24,393938,620127,2025.4,8101.6,1,2014-01-01 20:49:51
218,12,393938,620127,2025.4,21699.4,2,2014-01-01 20:49:51
219,16,763673,918519,888.166666667,7993.5,1,2014-01-01 20:59:51
220,41,763673,918519,888.166666667,9301.83333333,2,2014-01-01 20:59:51
221,45,236879,967879,3517.8496,18468.7104,1,2014-01-01 21:09:51
222,29,236879,967879,3517.8496,11584.8496,2,2014-01-01 21:09:51
223,11,891150,941307,3043.38666667,20367.28,1,2014-01-01 21:19:51
224,56,891150,941307,3043.38666667,25053.91,2,2014-01-01 21:19:51
225,62,203790,212335,3252.7,18431.9666667,1,2014-01-01 21:29:51
226,13,203790,212335,3252.7,19930.7,2,2014-01-01 21:29:51
227,41,918519,237738,1023.20166667,8278.63166667,1,2014-01-01 21:39:51
228,46,918519,237738,1023.20166667,22709.2016667,2,2014-01-01 21:39:51
229,87,602125,763673,5753.6,23014.4,1,2014-01-01 21:49:51
230,16,602125,763673,5753.6,13747.1,2,2014-01-01 21:49:51
231,50,873515,880727,910.56,9206.77333333,1,2014-01-01 21:59:51
232,39,873515,880727,910.56,17077.8933333,2,2014-01-01 21:59:51
233,2,567538,9999999999,6.97,9374.03,1,2014-01-02 20:09:51
235,3,500724,9999999999,1.9,4994.43333333,1,2014-01-02 20:09:51
237,5,783774,9999999999,14.6,14959.7333333,1,2014-01-02 20:09:51
239,6,663702,9999999999,8498.16,10816.1733333,1,2014-01-02 20:09:51
241,8,878538,9999999999,8.0,3729.33333333,1,2014-01-02 20:09:51
243,9,450148,9999999999,15.41,7650.92333333,1,2014-01-02 20:09:51
245,11,891150,9999999999,1207.956,19159.324,1,2014-01-02 20:09:51
247,12,620127,9999999999,25.41,21673.99,1,2014-01-02 20:09:51
249,14,893318,9999999999,1.82,9889.84666667,1,2014-01-02 20:09:51
251,16,763673,9999999999,3.6,13743.5,1,2014-01-02 20:09:51
253,17,115528,9999999999,2.6,14612.0666667,1,2014-01-02 20:09:51
255,18,220113,9999999999,17.86,17698.14,1,2014-01-02 20:09:51
257,27,932991,9999999999,9.0,30144.6666667,1,2014-01-02 20:09:51
259,30,393851,9999999999,11.7,16290.6333333,1,2014-01-02 20:09:51
261,31,470262,9999999999,9.24,24479.0933333,1,2014-01-02 20:09:51
263,32,305156,9999999999,11.88,28156.12,1,2014-01-02 20:09:51
265,34,371491,9999999999,10.08,32581.2533333,1,2014-01-02 20:09:51
267,36,125917,9999999999,6232.8,20836.2,1,2014-01-02 20:09:51
269,37,308183,9999999999,5.67,9013.99666667,1,2014-01-02 20:09:51
271,38,918862,9999999999,2.7,28013.3,1,2014-01-02 20:09:51
273,40,712159,9999999999,11727.2978,18803.7022,1,2014-01-02 20:09:51
275,42,150467,9999999999,16.0,8365.33333333,1,2014-01-02 20:09:51
277,45,236879,9999999999,3.42,18465.2904,1,2014-01-02 20:09:51
279,48,166202,9999999999,6.0,21336.3333333,1,2014-01-02 20:09:51
281,53,943992,9999999999,11.6,32601.84,1,2014-01-02 20:09:51
283,54,163625,9999999999,3.04,14148.6266667,1,2014-01-02 20:09:51
285,55,826972,9999999999,8.37,30512.2966667,1,2014-01-02 20:09:51
287,57,467280,9999999999,3.06,26502.6066667,1,2014-01-02 20:09:51
289,59,518480,9999999999,7.6,32558.0666667,1,2014-01-02 20:09:51
291,60,936429,9999999999,3.55,12627.97,1,2014-01-02 20:09:51
293,62,203790,9999999999,1.68,18430.2866667,1,2014-01-02 20:09:51
295,64,420727,9999999999,2872.8378,23425.8288667,1,2014-01-02 20:09:51
297,68,471852,9999999999,0.46,28386.54,1,2014-01-02 20:09:51
299,71,921658,9999999999,6.24,11552.0933333,1,2014-01-02 20:09:51
301,73,587734,9999999999,19481.4592,11580.2074667,1,2014-01-02 20:09:51
303,75,969725,9999999999,13.26,25825.0733333,1,2014-01-02 20:09:51
305,76,708666,9999999999,3.45,11607.55,1,2014-01-02 20:09:51
307,80,960256,9999999999,7.28,17179.0533333,1,2014-01-02 20:09:51
309,84,749337,9999999999,15.0,12471.6666667,1,2014-01-02 20:09:51
311,87,602125,9999999999,13.95,23000.45,1,2014-01-02 20:09:51
313,92,908786,9999999999,3.36,7530.45,1,2014-01-02 20:09:51
315,93,844747,9999999999,6.38,12221.2866667,1,2014-01-02 20:09:51
317,49,697202,0,567.233333333,3484.43333333,1,2014-01-02 20:09:51
318,94,627076,0,1401.87,12616.83,1,2014-01-02 20:19:51
319,73,587734,828379,1273.82282133,10306.3846453,1,2014-01-02 20:29:51
320,61,587734,828379,1273.82282133,23814.1561547,2,2014-01-02 20:29:51
321,36,125917,275651,2083.62,18752.58,1,2014-01-02 20:39:51
322,91,125917,275651,2083.62,22978.02,2,2014-01-02 20:39:51
323,5,783774,345727,2243.96,12715.7733333,1,2014-01-02 20:49:51
324,25,783774,345727,2243.96,15712.6266667,2,2014-01-02 20:49:51
325,68,471852,0,4257.981,24128.559,1,2014-01-02 20:59:51
326,45,236879,518480,4800.975504,13664.314896,1,2014-01-03 20:09:51
327,59,236879,518480,4800.975504,37359.0421707,2,2014-01-03 20:09:51
328,35,923660,524070,1251.30666667,6569.36,1,2014-01-03 20:19:51
329,15,923660,524070,1251.30666667,22864.64,2,2014-01-03 20:19:51
330,19,478877,450148,432.98,6783.35333333,1,2014-01-03 20:29:51
331,9,478877,450148,432.98,8083.90333333,2,2014-01-03 20:29:51
332,23,768282,923660,4362.53333333,17450.1333333,1,2014-01-03 20:39:51
333,35,768282,923660,4362.53333333,10931.8933333,2,2014-01-03 20:39:51
334,72,988304,932991,511.133333333,25045.5333333,1,2014-01-03 20:49:51
335,27,988304,932991,511.133333333,30655.8,2,2014-01-03 20:49:51
336,31,470262,936179,3182.28213333,21296.8112,1,2014-01-03 20:59:51
337,43,470262,936179,3182.28213333,11011.6154667,2,2014-01-03 20:59:51
338,28,184756,708666,2715.36,14255.64,1,2014-01-03 21:09:51
339,76,184756,708666,2715.36,14322.91,2,2014-01-03 21:09:51
340,94,627076,936179,2018.6928,10598.1372,1,2014-01-03 21:19:51
341,43,627076,936179,2018.6928,13030.3082667,2,2014-01-03 21:19:51
342,49,697202,192134,418.132,3066.30133333,1,2014-01-03 21:29:51
343,96,697202,192134,418.132,33040.7986667,2,2014-01-03 21:29:51
344,8,878538,893766,410.226666667,3319.10666667,1,2014-01-03 21:39:51
345,89,878538,893766,410.226666667,19480.7933333,2,2014-01-03 21:39:51
346,89,893766,587734,2727.31106667,16753.4822667,1,2014-01-03 21:49:51
347,73,893766,587734,2727.31106667,13033.695712,2,2014-01-03 21:49:51
348,36,125917,450148,2062.7838,16689.7962,1,2014-01-04 19:59:51
349,9,125917,450148,2062.7838,10146.6871333,2,2014-01-04 19:59:51
350,86,930344,940970,1302.48333333,6359.18333333,1,2014-01-04 20:09:51
351,82,930344,940970,1302.48333333,14037.15,2,2014-01-04 20:09:51
352,87,602125,962257,4370.0855,18630.3645,1,2014-01-04 20:19:51
353,81,602125,962257,4370.0855,14201.4188333,2,2014-01-04 20:19:51
354,25,345727,932991,2514.02026667,13198.6064,1,2014-01-04 20:29:51
355,27,345727,932991,2514.02026667,33169.8202667,2,2014-01-04 20:29:51
356,80,960256,393851,2920.43906667,14258.6142667,1,2014-01-04 20:39:51
357,30,960256,393851,2920.43906667,19211.0724,2,2014-01-04 20:39:51
358,37,308183,783774,1352.0995,7661.89716667,1,2014-01-04 20:49:51
359,5,308183,783774,1352.0995,14067.8728333,2,2014-01-04 20:49:51
360,36,125917,212335,2503.46943,14186.32677,1,2014-01-04 20:59:51
361,13,125917,212335,2503.46943,22434.16943,2,2014-01-04 20:59:51
362,39,880727,450148,3074.0208,14003.8725333,1,2014-01-04 21:09:51
363,9,880727,450148,3074.0208,13220.7079333,2,2014-01-04 21:09:51
364,6,663702,524070,1622.426,9193.74733333,1,2014-01-04 21:19:51
365,15,663702,524070,1622.426,24487.066,2,2014-01-04 21:19:51
366,75,969725,988304,4648.5132,21176.5601333,1,2014-01-04 21:29:51
367,72,969725,988304,4648.5132,29694.0465333,2,2014-01-04 21:29:51
368,53,943992,674477,3260.184,29341.656,1,2014-01-04 21:39:51
369,98,943992,674477,3260.184,35127.8506667,2,2014-01-04 21:39:51
370,72,988304,918519,3563.285584,26130.7609493,1,2014-01-05 19:49:51
371,41,988304,918519,3563.285584,11841.9172507,2,2014-01-05 19:49:51
372,26,954873,306189,4599.40133333,28253.4653333,1,2014-01-05 19:59:51
373,52,954873,306189,4599.40133333,19050.7946667,2,2014-01-05 19:59:51
374,55,826972,697202,2135.86076667,28376.4359,1,2014-01-05 20:09:51
375,49,826972,697202,2135.86076667,5202.1621,2,2014-01-05 20:09:51
376,64,420727,587734,3513.87433,19911.9545367,1,2014-01-05 20:19:51
377,73,420727,587734,3513.87433,16547.570042,2,2014-01-05 20:19:51
378,89,893766,699610,6031.253616,10722.2286507,1,2014-01-05 20:29:51
379,44,893766,699610,6031.253616,24341.253616,2,2014-01-05 20:29:51
380,36,125917,918862,2269.8122832,11916.5144868,1,2014-01-05 20:39:51
381,38,125917,918862,2269.8122832,30283.1122832,2,2014-01-05 20:39:51
382,49,697202,203790,780.324315,4421.837785,1,2014-01-06 19:49:51
383,62,697202,203790,780.324315,19210.6109817,2,2014-01-06 19:49:51
384,74,751890,954873,3077.53333333,20595.8,1,2014-01-06 19:59:51
385,26,751890,954873,3077.53333333,31330.9986667,2,2014-01-06 19:59:51
386,98,674477,893318,5269.1776,29858.6730667,1,2014-01-06 20:09:51
387,14,674477,893318,5269.1776,15159.0242667,2,2014-01-06 20:09:51
388,51,491731,268381,2227.97333333,20051.76,1,2014-01-06 20:19:51
389,70,491731,268381,2227.97333333,8865.74,2,2014-01-06 20:19:51
390,47,518505,478877,1626.61666667,30905.7166667,1,2014-01-06 20:29:51
391,19,518505,478877,1626.61666667,8409.97,2,2014-01-06 20:29:51
392,39,880727,624005,2800.77450667,11203.0980267,1,2014-01-06 20:39:51
393,90,880727,624005,2800.77450667,28254.10784,2,2014-01-06 20:39:51
394,91,275651,478877,2987.1426,19990.8774,1,2014-01-06 20:49:51
395,19,275651,478877,2987.1426,11397.1126,2,2014-01-06 20:49:51
396,81,962257,672289,1704.17026,12497.2485733,1,2014-01-06 20:59:51
397,22,962257,672289,1704.17026,25703.5035933,2,2014-01-06 20:59:51
398,44,699610,524070,3894.60057856,20446.6530374,1,2014-01-07 20:09:51
399,15,699610,524070,3894.60057856,28381.6665786,2,2014-01-07 20:09:51
400,60,936429,943992,883.9579,11744.0121,1,2014-01-07 20:19:51
401,53,936429,943992,883.9579,30225.6139,2,2014-01-07 20:19:51
402,92,908786,420727,1506.09,6024.36,1,2014-01-07 20:29:51
403,64,908786,420727,1506.09,21418.0445367,2,2014-01-07 20:29:51
404,88,752325,967879,288.78,14150.22,1,2014-01-07 20:39:51
405,29,752325,967879,288.78,11873.6296,2,2014-01-07 20:39:51
406,65,745558,470262,2344.94,15693.06,1,2014-01-07 20:49:51
407,31,745558,470262,2344.94,23641.7512,2,2014-01-07 20:49:51
408,16,763673,752325,1924.09,11819.41,1,2014-01-07 20:59:51
409,88,763673,752325,1924.09,16074.31,2,2014-01-07 20:59:51
410,20,554762,988304,4246.99333333,26088.6733333,1,2014-01-07 21:09:51
411,72,554762,988304,4246.99333333,30377.7542827,2,2014-01-07 21:09:51
412,94,627076,470262,1483.739208,9114.397992,1,2014-01-08 20:19:51
413,31,627076,470262,1483.739208,25125.490408,2,2014-01-08 20:19:51
414,54,163625,936429,1697.8352,12450.7914667,1,2014-01-08 20:29:51
415,60,163625,936429,1697.8352,13441.8473,2,2014-01-08 20:29:51
416,61,828379,620127,6906.10528485,16908.0508698,1,2014-01-08 20:39:51
417,12,828379,620127,6906.10528485,28580.0952849,2,2014-01-08 20:39:51
418,54,163625,624005,1494.094976,10956.6964907,1,2014-01-08 20:49:51
419,90,163625,624005,1494.094976,29748.202816,2,2014-01-08 20:49:51
420,47,518505,918862,3708.686,27197.0306667,1,2014-01-08 20:59:51
421,38,518505,918862,3708.686,33991.7982832,2,2014-01-08 20:59:51
422,31,470262,930344,2763.80394488,22361.6864631,1,2014-01-08 21:09:51
423,86,470262,930344,2763.80394488,9122.98727821,2,2014-01-08 21:09:51
424,69,413103,712159,4063.25893333,17322.3144,1,2014-01-08 21:19:51
425,40,413103,712159,4063.25893333,22866.9611333,2,2014-01-08 21:19:51
426,63,165101,699610,1114.88333333,21182.7833333,1,2014-01-08 21:29:51
427,44,165101,699610,1114.88333333,21561.5363708,2,2014-01-08 21:29:51
428,53,943992,0,3929.329807,26296.284093,1,2014-01-08 21:39:51
429,63,165101,518480,2118.27833333,19064.505,1,2014-01-08 21:49:51
430,59,165101,518480,2118.27833333,39477.320504,2,2014-01-08 21:49:51
431,35,923660,768282,1749.10293333,9182.7904,1,2014-01-09 19:59:51
432,23,923660,768282,1749.10293333,19199.2362667,2,2014-01-09 19:59:51
433,91,275651,923660,2598.814062,17392.063338,1,2014-01-09 20:09:51
434,35,275651,923660,2598.814062,11781.604462,2,2014-01-09 20:09:51
435,66,781588,699610,4613.63,22525.37,1,2014-01-09 20:19:51
436,44,781588,699610,4613.63,26175.1663708,2,2014-01-09 20:19:51
437,49,697202,602125,353.7470228,4068.0907622,1,2014-01-09 20:29:51
438,87,697202,602125,353.7470228,18984.1115228,2,2014-01-09 20:29:51
439,39,880727,918519,1680.464704,9522.63332267,1,2014-01-09 20:39:51
440,41,880727,918519,1680.464704,13522.3819547,2,2014-01-09 20:39:51
441,98,674477,305156,5075.97442133,24782.6986453,1,2014-01-09 20:49:51
442,32,674477,305156,5075.97442133,33232.0944213,2,2014-01-09 20:49:51
443,72,988304,166202,5771.77331371,24605.980969,1,2014-01-09 20:59:51
444,48,988304,166202,5771.77331371,27108.106647,2,2014-01-09 20:59:51
445,1,891272,8888888888,1196.0,5381.33333333,1,2014-01-10 20:09:51
447,2,567538,8888888888,1705.0,7669.03,1,2014-01-10 20:09:51
449,3,500724,8888888888,908.0,4086.43333333,1,2014-01-10 20:09:51
451,4,914466,8888888888,4144.0,18653.6666667,1,2014-01-10 20:09:51
453,5,783774,8888888888,2722.0,11345.8728333,1,2014-01-10 20:09:51
455,6,663702,8888888888,3511.0,5682.74733333,1,2014-01-10 20:09:51
457,7,636714,8888888888,3284.0,14780.6666667,1,2014-01-10 20:09:51
459,8,878538,8888888888,679.0,2640.10666667,1,2014-01-10 20:09:51
461,9,450148,8888888888,1394.0,11826.7079333,1,2014-01-10 20:09:51
463,10,839923,8888888888,2765.0,12446.6666667,1,2014-01-10 20:09:51
465,11,891150,8888888888,4256.0,14903.324,1,2014-01-10 20:09:51
467,12,620127,8888888888,3577.0,25003.0952849,1,2014-01-10 20:09:51
469,13,212335,8888888888,3032.0,19402.16943,1,2014-01-10 20:09:51
471,14,893318,8888888888,1798.0,13361.0242667,1,2014-01-10 20:09:51
473,15,524070,8888888888,3929.0,24452.6665786,1,2014-01-10 20:09:51
475,16,763673,8888888888,1615.0,10204.41,1,2014-01-10 20:09:51
477,17,115528,8888888888,2657.0,11955.0666667,1,2014-01-10 20:09:51
479,18,220113,8888888888,3221.0,14477.14,1,2014-01-10 20:09:51
481,19,478877,8888888888,1312.0,10085.1126,1,2014-01-10 20:09:51
483,20,554762,8888888888,5515.0,20573.6733333,1,2014-01-10 20:09:51
485,21,871572,8888888888,2750.0,14096.8133333,1,2014-01-10 20:09:51
487,22,672289,8888888888,4363.0,21340.5035933,1,2014-01-10 20:09:51
489,23,768282,8888888888,3965.0,15234.2362667,1,2014-01-10 20:09:51
491,24,393938,8888888888,1841.0,6260.6,1,2014-01-10 20:09:51
493,25,345727,8888888888,2449.0,10749.6064,1,2014-01-10 20:09:51
495,26,954873,8888888888,4538.0,26792.9986667,1,2014-01-10 20:09:51
497,27,932991,8888888888,5482.0,27687.8202667,1,2014-01-10 20:09:51
499,28,184756,8888888888,3085.0,11170.64,1,2014-01-10 20:09:51
501,29,967879,8888888888,1467.0,10406.6296,1,2014-01-10 20:09:51
503,30,393851,8888888888,2964.0,16247.0724,1,2014-01-10 20:09:51
505,31,470262,8888888888,4452.0,17909.6864631,1,2014-01-10 20:09:51
507,32,305156,8888888888,5121.0,28111.0944213,1,2014-01-10 20:09:51
509,33,589197,8888888888,2128.0,9579.66666667,1,2014-01-10 20:09:51
511,34,371491,8888888888,5925.0,26656.2533333,1,2014-01-10 20:09:51
513,35,923660,8888888888,1422.0,10359.604462,1,2014-01-10 20:09:51
515,36,125917,8888888888,4921.0,6995.5144868,1,2014-01-10 20:09:51
517,37,308183,8888888888,1640.0,6021.89716667,1,2014-01-10 20:09:51
519,38,918862,8888888888,5093.0,28898.7982832,1,2014-01-10 20:09:51
521,39,880727,8888888888,2939.0,6583.63332267,1,2014-01-10 20:09:51
523,40,712159,8888888888,5550.0,17316.9611333,1,2014-01-10 20:09:51
525,41,918519,8888888888,1530.0,11992.3819547,1,2014-01-10 20:09:51
527,42,150467,8888888888,1524.0,6841.33333333,1,2014-01-10 20:09:51
529,43,936179,8888888888,1423.0,11607.3082667,1,2014-01-10 20:09:51
531,44,699610,8888888888,3329.0,22846.1663708,1,2014-01-10 20:09:51
533,45,236879,8888888888,4491.0,9173.314896,1,2014-01-10 20:09:51
535,46,237738,8888888888,3942.0,18767.2016667,1,2014-01-10 20:09:51
537,47,518505,8888888888,5914.0,21283.0306667,1,2014-01-10 20:09:51
539,48,166202,8888888888,3880.0,23228.106647,1,2014-01-10 20:09:51
541,49,697202,8888888888,737.0,3331.0907622,1,2014-01-10 20:09:51
543,50,873515,8888888888,1839.0,7367.77333333,1,2014-01-10 20:09:51
545,51,491731,8888888888,5063.0,14988.76,1,2014-01-10 20:09:51
547,52,306189,8888888888,1655.0,17395.7946667,1,2014-01-10 20:09:51
549,53,943992,8888888888,5435.0,20861.284093,1,2014-01-10 20:09:51
551,54,163625,8888888888,2573.0,8383.69649067,1,2014-01-10 20:09:51
553,55,826972,8888888888,5548.0,22828.4359,1,2014-01-10 20:09:51
555,56,941307,8888888888,3680.0,21373.91,1,2014-01-10 20:09:51
557,57,467280,8888888888,4819.0,21683.6066667,1,2014-01-10 20:09:51
559,58,624937,8888888888,3280.0,14761.6666667,1,2014-01-10 20:09:51
561,59,518480,8888888888,5920.0,33557.320504,1,2014-01-10 20:09:51
563,60,936429,8888888888,2609.0,10832.8473,1,2014-01-10 20:09:51
565,61,828379,8888888888,4098.0,12810.0508698,1,2014-01-10 20:09:51
567,62,203790,8888888888,3942.0,15268.6109817,1,2014-01-10 20:09:51
569,63,165101,8888888888,4054.0,15010.505,1,2014-01-10 20:09:51
571,64,420727,8888888888,4781.0,16637.0445367,1,2014-01-10 20:09:51
573,65,745558,8888888888,3279.0,12414.06,1,2014-01-10 20:09:51
575,66,781588,8888888888,4934.0,17591.37,1,2014-01-10 20:09:51
577,67,531934,8888888888,5041.0,22690.3333333,1,2014-01-10 20:09:51
